Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
"Canoeing Women's Kayak Singles, 500 metres",Summer,F,Gold,117576.5,59511.0,28.0,169.0,67.0,1982.0
"Canoeing Women's Kayak Singles, Slalom",Summer,F,Gold,95907.5,48549.0,30.5,164.5,59.5,2002.0
Cross Country Skiing Women's 10 kilometres,Winter,F,Gold,127457.5,64211.5,28.0,162.0,59.0,1978.0
Cross Country Skiing Women's 15 kilometres,Winter,F,Gold,51895.0,26662.5,29.0,165.5,55.5,1996.0
Cross Country Skiing Women's 15 km Skiathlon,Winter,F,Gold,22682.0,11943.0,29.0,168.0,64.0,2010.0
Cross Country Skiing Women's 20 kilometres,Winter,F,Gold,180093.0,90553.0,25.5,169.0,62.25,1986.0
Cross Country Skiing Women's 3 x 5 kilometres Relay,Winter,F,Gold,128724.0,64799.0,28.0,162.5,57.0,1964.0
Cross Country Skiing Women's 30 kilometres,Winter,F,Gold,54761.0,28063.0,31.0,168.0,59.0,2002.0
Cross Country Skiing Women's 4 x 5 kilometres Relay,Winter,F,Gold,131670.5,66295.0,26.5,167.0,56.0,1994.0
Cross Country Skiing Women's 5 kilometres,Winter,F,Gold,131331.0,66123.0,27.5,162.0,57.0,1982.0
Cross Country Skiing Women's 5/10 kilometres Pursuit,Winter,F,Gold,265344.0,132791.0,27.0,167.0,58.0,1994.0
Cross Country Skiing Women's 5/5 kilometres Pursuit,Winter,F,Gold,215092.0,107976.0,27.0,171.0,64.0,2002.0
Cross Country Skiing Women's Sprint,Winter,F,Gold,42801.0,22055.0,24.0,166.0,64.0,2008.0
Cross Country Skiing Women's Team Sprint,Winter,F,Gold,88710.0,44946.0,29.0,165.0,58.0,2010.0
Curling Women's Curling,Winter,F,Gold,147950.5,74249.0,34.0,167.0,66.0,2006.0
Cycling Women's 500 metres Time Trial,Summer,F,Gold,84422.0,42654.0,24.5,166.5,70.0,2002.0
Cycling Women's BMX,Summer,F,Gold,180331.0,90631.0,24.0,158.0,50.0,2012.0
"Cycling Women's Individual Pursuit, 3,000 metres",Summer,F,Gold,204701.0,102788.0,28.0,174.0,69.0,2000.0
Cycling Women's Individual Time Trial,Summer,F,Gold,138223.0,69381.0,34.0,173.0,61.5,2006.0
Cycling Women's Keirin,Summer,F,Gold,162000.0,81404.0,26.5,175.0,75.0,2014.0
"Cycling Women's Mountainbike, Cross-Country",Summer,F,Gold,187681.5,94323.0,29.0,170.0,58.0,2006.0
Cycling Women's Omnium,Summer,F,Gold,243746.0,122071.0,22.0,164.0,56.0,2014.0
Cycling Women's Points Race,Summer,F,Gold,144243.5,72755.0,28.5,169.5,65.0,2002.0
"Cycling Women's Road Race, Individual",Summer,F,Gold,142008.0,71236.0,26.0,168.0,59.0,2000.0
Cycling Women's Sprint,Summer,F,Gold,175025.0,87932.5,27.5,165.0,68.0,2002.0
Cycling Women's Team Pursuit,Summer,F,Gold,205230.0,103052.0,22.0,175.0,62.0,2016.0
Cycling Women's Team Sprint,Summer,F,Gold,256256.0,128306.5,25.0,166.5,65.5,2014.0
