Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Cross Country Skiing Women's 15 kilometres,Winter,F,Bronze,119115.5,59999.0,26.5,165.5,54.5,1996.0
Cross Country Skiing Women's 15 km Skiathlon,Winter,F,Bronze,140741.5,70808.0,28.0,165.5,57.5,2008.0
Cross Country Skiing Women's 20 kilometres,Winter,F,Bronze,164343.0,82730.5,27.5,169.0,56.0,1986.0
Cross Country Skiing Women's 3 x 5 kilometres Relay,Winter,F,Bronze,150421.5,75600.5,28.5,163.5,54.0,1966.0
Cross Country Skiing Women's 30 kilometres,Winter,F,Bronze,207205.0,103975.0,31.0,169.0,58.0,2002.0
Cross Country Skiing Women's 4 x 5 kilometres Relay,Winter,F,Bronze,129194.0,65033.0,28.0,170.0,58.0,1994.0
Cross Country Skiing Women's 5 kilometres,Winter,F,Bronze,122950.5,62147.0,26.5,162.0,56.5,1982.0
Cross Country Skiing Women's 5/10 kilometres Pursuit,Winter,F,Bronze,170095.0,85479.0,24.0,164.0,54.0,1994.0
Cross Country Skiing Women's 5/5 kilometres Pursuit,Winter,F,Bronze,16236.0,8725.0,25.0,167.0,61.0,2002.0
Cross Country Skiing Women's Sprint,Winter,F,Bronze,154010.5,77284.5,29.0,170.0,62.5,2008.0
Cross Country Skiing Women's Team Sprint,Winter,F,Bronze,126564.5,63816.0,27.5,172.0,63.0,2010.0
Curling Women's Curling,Winter,F,Bronze,165146.0,82932.0,30.0,165.0,62.0,2006.0
Cycling Women's 500 metres Time Trial,Summer,F,Bronze,176299.5,88541.0,26.5,173.5,75.5,2002.0
Cycling Women's BMX,Summer,F,Bronze,119648.0,60569.0,25.0,170.0,65.0,2012.0
"Cycling Women's Individual Pursuit, 3,000 metres",Summer,F,Bronze,154558.0,77592.0,29.0,170.0,59.0,2000.0
Cycling Women's Individual Time Trial,Summer,F,Bronze,239783.0,120162.0,32.0,175.0,64.0,2006.0
Cycling Women's Keirin,Summer,F,Bronze,145444.5,73094.5,28.5,165.0,66.0,2014.0
"Cycling Women's Mountainbike, Cross-Country",Summer,F,Bronze,97500.0,49442.5,32.0,166.5,53.5,2006.0
Cycling Women's Omnium,Summer,F,Bronze,58009.0,29732.5,23.0,173.5,64.5,2014.0
Cycling Women's Points Race,Summer,F,Bronze,199594.0,100291.0,31.0,171.0,60.5,2002.0
"Cycling Women's Road Race, Individual",Summer,F,Bronze,214565.0,107723.0,24.0,168.0,60.0,2000.0
Cycling Women's Sprint,Summer,F,Bronze,119996.0,60416.0,25.0,170.0,70.0,2002.0
Cycling Women's Team Pursuit,Summer,F,Bronze,80140.5,40671.0,25.5,168.0,63.5,2016.0
Cycling Women's Team Sprint,Summer,F,Bronze,204550.0,102524.0,26.5,166.5,68.0,2014.0
Diving Women's Platform,Summer,F,Bronze,176867.0,88889.0,21.5,159.0,51.0,1982.0
Diving Women's Springboard,Summer,F,Bronze,166246.0,83525.0,24.0,163.0,54.0,1986.0
Diving Women's Synchronized Platform,Summer,F,Bronze,74413.5,37855.0,22.5,155.0,52.0,2008.0
Diving Women's Synchronized Springboard,Summer,F,Bronze,129183.0,65100.5,26.0,167.5,59.0,2008.0
"Equestrianism Mixed Dressage, Individual",Summer,F,Bronze,115719.0,58624.0,38.0,172.0,58.0,2004.0
"Equestrianism Mixed Dressage, Team",Summer,F,Bronze,151978.0,76270.0,35.0,170.0,59.0,1988.0
"Equestrianism Mixed Jumping, Individual",Summer,F,Bronze,145812.0,73175.0,33.0,170.0,63.0,1996.0
"Equestrianism Mixed Jumping, Team",Summer,F,Bronze,158047.0,79345.0,29.0,170.0,60.0,2008.0
"Equestrianism Mixed Three-Day Event, Individual",Summer,F,Bronze,74122.0,37646.0,33.0,168.0,60.0,2004.0
