Event,Season,Sex,Medal,Age,Height,Weight,Year
"Cycling Women's Mountainbike, Cross-Country",Summer,F,Silver,29.0,168.0,55.0,2006
Cycling Women's Omnium,Summer,F,Silver,30.0,171.0,65.0,2014
Cycling Women's Points Race,Summer,F,Silver,31.0,168.0,64.0,2002
"Cycling Women's Road Race, Individual",Summer,F,Silver,26.0,168.0,57.0,2000
Cycling Women's Sprint,Summer,F,Silver,24.0,165.0,62.5,2002
Cycling Women's Team Pursuit,Summer,F,Silver,28.0,173.0,65.0,2014
Cycling Women's Team Sprint,Summer,F,Silver,24.0,164.5,64.5,2014
Diving Women's Platform,Summer,F,Silver,21.0,162.0,51.0,1984
Diving Women's Springboard,Summer,F,Silver,20.5,162.0,51.0,1986
Diving Women's Synchronized Platform,Summer,F,Silver,20.5,156.0,49.5,2008
Diving Women's Synchronized Springboard,Summer,F,Silver,24.5,161.0,49.5,2008
"Equestrianism Mixed Dressage, Individual",Summer,F,Silver,32.5,169.0,65.0,1998
"Equestrianism Mixed Dressage, Team",Summer,F,Silver,35.0,172.0,59.0,1992
"Equestrianism Mixed Jumping, Individual",Summer,F,Silver,21.5,161.0,56.5,1970
"Equestrianism Mixed Jumping, Team",Summer,F,Silver,30.5,168.0,56.0,1996
"Equestrianism Mixed Three-Day Event, Individual",Summer,F,Silver,33.5,161.5,55.0,2006
"Equestrianism Mixed Three-Day Event, Team",Summer,F,Silver,31.0,168.5,60.0,2004
"Fencing Women's Foil, Individual",Summer,F,Silver,26.5,169.0,61.5,1986
"Fencing Women's Foil, Team",Summer,F,Silver,25.0,168.0,58.0,1984
"Fencing Women's Sabre, Individual",Summer,F,Silver,26.0,175.0,70.0,2010
"Fencing Women's Sabre, Team",Summer,F,Silver,24.0,172.0,66.5,2012
"Fencing Women's epee, Individual",Summer,F,Silver,28.0,169.0,54.0,2006
"Fencing Women's epee, Team",Summer,F,Silver,25.0,176.0,65.0,2004
Figure Skating Mixed Ice Dancing,Winter,F,Silver,24.0,165.0,50.0,1996
Figure Skating Mixed Pairs,Winter,F,Silver,22.0,159.5,49.0,1980
Figure Skating Mixed Team,Winter,F,Silver,22.5,156.0,50.5,2014
Figure Skating Women's Singles,Winter,F,Silver,19.5,160.0,49.0,1990
Football Women's Football,Summer,F,Silver,25.0,166.0,59.0,2008
Freestyle Skiing Women's Aerials,Winter,F,Silver,23.0,160.0,52.5,2004
Freestyle Skiing Women's Halfpipe,Winter,F,Silver,29.0,158.0,48.0,2014
Freestyle Skiing Women's Moguls,Winter,F,Silver,26.0,165.0,59.0,2002
Freestyle Skiing Women's Ski Cross,Winter,F,Silver,28.5,167.5,62.0,2012
Freestyle Skiing Women's Slopestyle,Winter,F,Silver,20.0,178.0,82.0,2014
Gymnastics Women's Balance Beam,Summer,F,Silver,18.0,152.0,45.0,1988
Gymnastics Women's Floor Exercise,Summer,F,Silver,19.0,158.0,47.0,1992
Gymnastics Women's Horse Vault,Summer,F,Silver,21.0,158.0,46.0,1980
Gymnastics Women's Individual All-Around,Summer,F,Silver,18.0,154.0,46.5,1986
Gymnastics Women's Team All-Around,Summer,F,Silver,18.0,156.0,45.5,1984
Gymnastics Women's Uneven Bars,Summer,F,Silver,17.5,155.5,44.5,1984
Handball Women's Handball,Summer,F,Silver,24.0,174.0,67.0,2000
Hockey Women's Hockey,Summer,F,Silver,25.0,166.0,59.0,2000
Ice Hockey Women's Ice Hockey,Winter,F,Silver,24.0,170.0,68.0,2006
Judo Women's Extra-Lightweight,Summer,F,Silver,25.0,153.0,48.0,2004
Judo Women's Half-Heavyweight,Summer,F,Silver,25.0,173.0,77.0,2004
Judo Women's Half-Lightweight,Summer,F,Silver,24.0,158.5,52.0,2006
Judo Women's Half-Middleweight,Summer,F,Silver,23.0,167.0,64.0,2006
Judo Women's Heavyweight,Summer,F,Silver,27.0,182.0,104.0,2004
Judo Women's Lightweight,Summer,F,Silver,25.5,160.5,58.0,2006
Judo Women's Middleweight,Summer,F,Silver,25.0,170.0,70.0,2004
Luge Mixed Team Relay,Winter,F,Silver,22.0,173.0,70.0,2014
Luge Women's Singles,Winter,F,Silver,23.5,174.0,69.0,1990
Modern Pentathlon Women's Individual,Summer,F,Silver,25.0,174.0,62.0,2008
Rhythmic Gymnastics Women's Group,Summer,F,Silver,19.0,171.0,50.0,2004
Rhythmic Gymnastics Women's Individual,Summer,F,Silver,18.0,163.0,46.0,2000
Rowing Women's Coxed Eights,Summer,F,Silver,26.0,180.0,75.0,1996
Rowing Women's Coxed Fours,Summer,F,Silver,22.0,174.0,72.0,1982
Rowing Women's Coxed Quadruple Sculls,Summer,F,Silver,24.0,173.0,67.5,1980
Rowing Women's Coxless Fours,Summer,F,Silver,26.5,177.5,72.0,1992
Rowing Women's Coxless Pairs,Summer,F,Silver,25.0,179.5,73.0,1996
Rowing Women's Double Sculls,Summer,F,Silver,25.0,178.0,72.0,1996
Rowing Women's Lightweight Double Sculls,Summer,F,Silver,29.0,174.0,59.0,2006
Rowing Women's Quadruple Sculls,Summer,F,Silver,26.0,181.0,75.0,2002
Rowing Women's Single Sculls,Summer,F,Silver,27.0,178.0,72.0,1996
Rugby Sevens Women's Rugby Sevens,Summer,F,Silver,24.0,170.0,70.5,2016
Sailing Mixed Multihull,Summer,F,Silver,24.0,168.0,65.0,2016
Sailing Women's One Person Dinghy,Summer,F,Silver,24.0,177.0,68.0,2004
Sailing Women's Skiff,Summer,F,Silver,23.5,168.0,65.0,2016
Sailing Women's Three Person Keelboat,Summer,F,Silver,23.0,170.0,68.0,2008
Sailing Women's Two Person Dinghy,Summer,F,Silver,30.0,173.0,65.0,2004
Sailing Women's Windsurfer,Summer,F,Silver,28.0,170.0,59.0,2004
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Silver,33.0,163.0,73.0,1976
"Shooting Women's Air Pistol, 10 metres",Summer,F,Silver,29.0,165.0,61.5,2002
"Shooting Women's Air Rifle, 10 metres",Summer,F,Silver,30.0,165.0,56.0,2000
Shooting Women's Double Trap,Summer,F,Silver,24.0,168.0,65.0,2000
Shooting Women's Skeet,Summer,F,Silver,29.0,167.0,60.0,2008
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Silver,24.0,165.0,60.0,2000
"Shooting Women's Sporting Pistol, 25 metres",Summer,F,Silver,26.0,164.0,60.0,2000
Shooting Women's Trap,Summer,F,Silver,28.0,166.0,65.0,2008
"Short Track Speed Skating Women's 1,000 metres",Winter,F,Silver,20.0,169.0,60.0,2004
"Short Track Speed Skating Women's 1,500 metres",Winter,F,Silver,17.5,165.0,59.0,2008
"Short Track Speed Skating Women's 3,000 metres Relay",Winter,F,Silver,23.0,165.0,60.0,2002
Short Track Speed Skating Women's 500 metres,Winter,F,Silver,22.0,165.5,62.5,2004
Skeleton Women's Skeleton,Winter,F,Silver,31.5,173.0,68.0,2008
