Event,Season,Sex,Medal,Age,Height,Weight,Year
"Cycling Women's Mountainbike, Cross-Country",Summer,F,Gold,29.0,170.0,58.0,2006
Cycling Women's Omnium,Summer,F,Gold,22.0,164.0,56.0,2014
Cycling Women's Points Race,Summer,F,Gold,28.5,169.5,65.0,2002
"Cycling Women's Road Race, Individual",Summer,F,Gold,26.0,168.0,59.0,2000
Cycling Women's Sprint,Summer,F,Gold,27.5,165.0,68.0,2002
Cycling Women's Team Pursuit,Summer,F,Gold,22.0,175.0,62.0,2016
Cycling Women's Team Sprint,Summer,F,Gold,25.0,166.5,65.5,2014
Diving Women's Platform,Summer,F,Gold,17.0,162.0,53.0,1984
Diving Women's Springboard,Summer,F,Gold,21.0,162.0,52.0,1984
Diving Women's Synchronized Platform,Summer,F,Gold,16.5,157.0,47.0,2008
Diving Women's Synchronized Springboard,Summer,F,Gold,23.5,163.0,51.5,2008
"Equestrianism Mixed Dressage, Individual",Summer,F,Gold,29.0,172.0,57.0,1996
"Equestrianism Mixed Dressage, Team",Summer,F,Gold,32.0,169.0,63.0,2000
"Equestrianism Mixed Jumping, Team",Summer,F,Gold,38.0,168.0,57.5,2006
"Equestrianism Mixed Three-Day Event, Team",Summer,F,Gold,33.0,167.0,57.0,1992
"Fencing Women's Foil, Individual",Summer,F,Gold,26.0,168.0,60.0,1984
"Fencing Women's Foil, Team",Summer,F,Gold,25.5,169.0,59.0,1980
"Fencing Women's Sabre, Individual",Summer,F,Gold,22.5,173.0,68.0,2010
"Fencing Women's Sabre, Team",Summer,F,Gold,21.5,168.0,55.5,2012
"Fencing Women's epee, Individual",Summer,F,Gold,28.0,178.0,69.0,2006
"Fencing Women's epee, Team",Summer,F,Gold,27.0,174.0,62.0,2004
Figure Skating Mixed Ice Dancing,Winter,F,Gold,26.0,164.5,50.5,1996
Figure Skating Mixed Pairs,Summer,F,Gold,35.0,165.0,58.0,1920
Figure Skating Mixed Pairs,Winter,F,Gold,24.0,158.0,45.0,1992
Figure Skating Mixed Team,Winter,F,Gold,25.0,159.5,46.5,2014
Figure Skating Women's Singles,Winter,F,Gold,19.0,162.0,50.0,1980
Football Women's Football,Summer,F,Gold,26.0,169.0,61.0,2008
Freestyle Skiing Women's Aerials,Winter,F,Gold,27.5,160.5,56.0,2004
Freestyle Skiing Women's Halfpipe,Winter,F,Gold,20.0,155.0,63.0,2014
Freestyle Skiing Women's Moguls,Winter,F,Gold,23.0,166.0,56.5,2002
Freestyle Skiing Women's Ski Cross,Winter,F,Gold,23.5,178.0,68.0,2012
Freestyle Skiing Women's Slopestyle,Winter,F,Gold,19.0,170.0,58.0,2014
Golf Women's Individual,Summer,F,Gold,28.0,168.0,65.0,2016
Gymnastics Women's Balance Beam,Summer,F,Gold,18.0,153.0,45.0,1984
Gymnastics Women's Floor Exercise,Summer,F,Gold,18.0,157.0,47.0,1980
Gymnastics Women's Horse Vault,Summer,F,Gold,19.0,156.5,47.0,1986
Gymnastics Women's Individual All-Around,Summer,F,Gold,19.0,158.0,45.0,1984
Gymnastics Women's Team All-Around,Summer,F,Gold,18.0,156.0,46.0,1984
Gymnastics Women's Team Portable Apparatus,Summer,F,Gold,27.0,160.0,57.0,1956
Gymnastics Women's Uneven Bars,Summer,F,Gold,17.5,158.5,45.5,1986
Handball Women's Handball,Summer,F,Gold,25.0,175.0,68.0,1996
Hockey Women's Hockey,Summer,F,Gold,25.0,168.0,61.0,2000
Ice Hockey Women's Ice Hockey,Winter,F,Gold,25.0,170.0,70.0,2006
Judo Women's Extra-Lightweight,Summer,F,Gold,25.0,154.0,48.0,2004
Judo Women's Half-Heavyweight,Summer,F,Gold,24.0,173.0,75.0,2006
Judo Women's Half-Lightweight,Summer,F,Gold,28.0,160.0,52.0,2004
Judo Women's Half-Middleweight,Summer,F,Gold,26.0,162.0,63.0,2004
Judo Women's Heavyweight,Summer,F,Gold,23.0,173.0,98.0,2004
Judo Women's Lightweight,Summer,F,Gold,24.0,165.5,58.0,2006
Judo Women's Middleweight,Summer,F,Gold,26.0,168.0,70.0,2004
Luge Mixed Team Relay,Winter,F,Gold,26.0,183.0,76.0,2014
Luge Women's Singles,Winter,F,Gold,24.5,170.0,67.0,1990
Modern Pentathlon Women's Individual,Summer,F,Gold,27.0,172.0,57.0,2008
Rhythmic Gymnastics Women's Group,Summer,F,Gold,18.0,174.0,51.0,2004
Rhythmic Gymnastics Women's Individual,Summer,F,Gold,20.0,168.0,43.0,2000
Rowing Women's Coxed Eights,Summer,F,Gold,25.5,180.0,76.0,1996
Rowing Women's Coxed Fours,Summer,F,Gold,22.0,179.0,76.5,1982
Rowing Women's Coxed Quadruple Sculls,Summer,F,Gold,22.0,176.0,66.5,1980
Rowing Women's Coxless Fours,Summer,F,Gold,27.5,176.0,73.5,1992
Rowing Women's Coxless Pairs,Summer,F,Gold,26.0,178.5,74.0,1996
Rowing Women's Double Sculls,Summer,F,Gold,26.0,179.0,75.5,1996
Rowing Women's Lightweight Double Sculls,Summer,F,Gold,28.5,174.0,57.5,2006
Rowing Women's Quadruple Sculls,Summer,F,Gold,24.5,183.0,76.0,2002
Rowing Women's Single Sculls,Summer,F,Gold,27.0,181.0,75.0,1996
Rugby Sevens Women's Rugby Sevens,Summer,F,Gold,23.5,169.0,66.5,2016
Sailing Mixed Multihull,Summer,F,Gold,29.0,164.0,63.0,2016
Sailing Women's One Person Dinghy,Summer,F,Gold,24.0,169.0,65.0,2004
Sailing Women's Skiff,Summer,F,Gold,25.0,170.0,65.0,2016
Sailing Women's Three Person Keelboat,Summer,F,Gold,27.0,169.0,66.0,2008
Sailing Women's Two Person Dinghy,Summer,F,Gold,27.5,171.5,64.0,2002
Sailing Women's Windsurfer,Summer,F,Gold,26.0,169.0,57.0,2004
Shooting Mixed Skeet,Summer,F,Gold,24.0,163.0,57.0,1992
"Shooting Women's Air Pistol, 10 metres",Summer,F,Gold,25.5,162.5,61.5,2002
"Shooting Women's Air Rifle, 10 metres",Summer,F,Gold,22.5,164.0,54.5,2002
Shooting Women's Double Trap,Summer,F,Gold,25.0,163.0,82.0,2000
Shooting Women's Skeet,Summer,F,Gold,33.0,171.0,82.0,2008
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Gold,28.0,162.0,55.0,2000
"Shooting Women's Sporting Pistol, 25 metres",Summer,F,Gold,28.0,163.0,63.0,2000
