Event,Season,Sex,Medal,Age,Height,Weight,Year
Cycling Women's Individual Time Trial,Summer,F,Bronze,32.0,175.0,64.0,2006
Cycling Women's Keirin,Summer,F,Bronze,28.5,165.0,66.0,2014
"Cycling Women's Mountainbike, Cross-Country",Summer,F,Bronze,32.0,166.5,53.5,2006
Cycling Women's Omnium,Summer,F,Bronze,23.0,173.5,64.5,2014
Cycling Women's Points Race,Summer,F,Bronze,31.0,171.0,60.5,2002
"Cycling Women's Road Race, Individual",Summer,F,Bronze,24.0,168.0,60.0,2000
Cycling Women's Sprint,Summer,F,Bronze,25.0,170.0,70.0,2002
Cycling Women's Team Pursuit,Summer,F,Bronze,25.5,168.0,63.5,2016
Cycling Women's Team Sprint,Summer,F,Bronze,26.5,166.5,68.0,2014
Diving Women's Platform,Summer,F,Bronze,21.5,159.0,51.0,1982
Diving Women's Springboard,Summer,F,Bronze,24.0,163.0,54.0,1986
Diving Women's Synchronized Platform,Summer,F,Bronze,22.5,155.0,52.0,2008
Diving Women's Synchronized Springboard,Summer,F,Bronze,26.0,167.5,59.0,2008
"Equestrianism Mixed Dressage, Individual",Summer,F,Bronze,38.0,172.0,58.0,2004
"Equestrianism Mixed Dressage, Team",Summer,F,Bronze,35.0,170.0,59.0,1988
"Equestrianism Mixed Jumping, Individual",Summer,F,Bronze,33.0,170.0,63.0,1996
"Equestrianism Mixed Jumping, Team",Summer,F,Bronze,29.0,170.0,60.0,2008
"Equestrianism Mixed Three-Day Event, Individual",Summer,F,Bronze,33.0,168.0,60.0,2004
"Equestrianism Mixed Three-Day Event, Team",Summer,F,Bronze,33.5,169.0,61.5,2004
"Fencing Women's Foil, Individual",Summer,F,Bronze,27.5,167.5,59.0,1986
"Fencing Women's Foil, Team",Summer,F,Bronze,27.0,166.0,58.0,1984
"Fencing Women's Sabre, Individual",Summer,F,Bronze,21.0,171.0,68.0,2010
"Fencing Women's Sabre, Team",Summer,F,Bronze,26.0,173.0,72.0,2016
"Fencing Women's epee, Individual",Summer,F,Bronze,26.0,174.0,61.0,2006
"Fencing Women's epee, Team",Summer,F,Bronze,26.0,172.5,64.0,2004
Figure Skating Mixed Ice Dancing,Winter,F,Bronze,26.0,165.0,51.0,1994
Figure Skating Mixed Pairs,Winter,F,Bronze,23.0,158.0,48.0,1988
Figure Skating Mixed Team,Winter,F,Bronze,22.5,160.0,50.5,2014
Figure Skating Women's Singles,Winter,F,Bronze,21.0,161.0,52.0,1990
Football Women's Football,Summer,F,Bronze,25.0,171.0,63.0,2008
Freestyle Skiing Women's Aerials,Winter,F,Bronze,28.0,160.5,55.5,2004
Freestyle Skiing Women's Halfpipe,Winter,F,Bronze,25.0,158.0,50.0,2014
Freestyle Skiing Women's Moguls,Winter,F,Bronze,25.0,167.0,60.0,2002
Freestyle Skiing Women's Ski Cross,Winter,F,Bronze,24.5,172.5,66.0,2012
Freestyle Skiing Women's Slopestyle,Winter,F,Bronze,25.0,165.0,54.0,2014
Golf Women's Individual,Summer,F,Bronze,26.0,170.0,85.0,2016
Gymnastics Women's Balance Beam,Summer,F,Bronze,19.0,152.0,45.0,1988
Gymnastics Women's Floor Exercise,Summer,F,Bronze,18.0,158.0,46.0,1984
Gymnastics Women's Horse Vault,Summer,F,Bronze,17.0,156.0,43.0,1988
Gymnastics Women's Individual All-Around,Summer,F,Bronze,18.5,159.0,48.0,1986
Gymnastics Women's Team All-Around,Summer,F,Bronze,18.0,156.0,47.0,1984
Gymnastics Women's Team Portable Apparatus,Summer,F,Bronze,22.0,161.0,56.0,1956
Gymnastics Women's Uneven Bars,Summer,F,Bronze,19.0,156.0,46.0,1982
Handball Women's Handball,Summer,F,Bronze,27.0,175.0,68.0,1996
Hockey Women's Hockey,Summer,F,Bronze,26.0,167.0,60.0,2000
Ice Hockey Women's Ice Hockey,Winter,F,Bronze,22.5,167.0,65.0,2006
Judo Women's Extra-Lightweight,Summer,F,Bronze,22.0,157.0,48.0,2004
Judo Women's Half-Heavyweight,Summer,F,Bronze,25.0,170.5,78.0,2004
Judo Women's Half-Lightweight,Summer,F,Bronze,24.5,158.5,52.0,2004
Judo Women's Half-Middleweight,Summer,F,Bronze,27.0,165.0,63.0,2004
Judo Women's Heavyweight,Summer,F,Bronze,28.0,175.0,100.0,2004
Judo Women's Lightweight,Summer,F,Bronze,23.5,162.0,57.0,2004
Judo Women's Middleweight,Summer,F,Bronze,24.5,174.0,70.0,2004
Luge Mixed Team Relay,Winter,F,Bronze,23.0,170.0,72.0,2014
Luge Women's Singles,Winter,F,Bronze,23.0,172.0,67.0,1990
Modern Pentathlon Women's Individual,Summer,F,Bronze,26.0,177.0,60.0,2008
Rhythmic Gymnastics Women's Group,Summer,F,Bronze,18.0,172.0,51.0,2004
Rhythmic Gymnastics Women's Individual,Summer,F,Bronze,20.5,172.0,49.0,2002
Rowing Women's Coxed Eights,Summer,F,Bronze,25.0,180.0,73.0,1996
Rowing Women's Coxed Fours,Summer,F,Bronze,24.0,177.0,74.0,1984
Rowing Women's Coxed Quadruple Sculls,Summer,F,Bronze,23.0,170.0,67.0,1980
Rowing Women's Coxless Fours,Summer,F,Bronze,25.0,182.5,75.5,1992
Rowing Women's Coxless Pairs,Summer,F,Bronze,26.0,180.0,75.0,1996
Rowing Women's Double Sculls,Summer,F,Bronze,25.0,178.0,73.0,1996
Rowing Women's Lightweight Double Sculls,Summer,F,Bronze,27.5,173.0,59.0,2006
Rowing Women's Quadruple Sculls,Summer,F,Bronze,25.0,180.0,75.0,2000
Rowing Women's Single Sculls,Summer,F,Bronze,25.5,180.0,75.0,1996
Rugby Sevens Women's Rugby Sevens,Summer,F,Bronze,26.0,170.0,68.0,2016
Sailing Mixed Multihull,Summer,F,Bronze,23.0,167.0,57.0,2016
Sailing Women's One Person Dinghy,Summer,F,Bronze,25.0,170.0,63.0,2004
Sailing Women's Skiff,Summer,F,Bronze,24.0,169.5,65.0,2016
Sailing Women's Three Person Keelboat,Summer,F,Bronze,27.0,168.0,67.0,2008
Sailing Women's Two Person Dinghy,Summer,F,Bronze,28.5,173.5,63.5,2002
Sailing Women's Windsurfer,Summer,F,Bronze,26.0,170.0,59.0,2004
"Shooting Women's Air Pistol, 10 metres",Summer,F,Bronze,25.5,163.0,63.0,2002
"Shooting Women's Air Rifle, 10 metres",Summer,F,Bronze,26.0,165.0,53.0,2000
Shooting Women's Double Trap,Summer,F,Bronze,35.0,164.0,82.0,2000
Shooting Women's Skeet,Summer,F,Bronze,35.0,170.0,66.0,2008
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Summer,F,Bronze,27.0,165.0,55.0,2000
"Shooting Women's Sporting Pistol, 25 metres",Summer,F,Bronze,36.0,163.0,63.0,2000
Shooting Women's Trap,Summer,F,Bronze,29.0,171.0,70.0,2008
"Short Track Speed Skating Women's 1,000 metres",Winter,F,Bronze,17.0,166.0,58.0,2006
"Short Track Speed Skating Women's 1,500 metres",Winter,F,Bronze,21.5,166.5,61.5,2008
"Short Track Speed Skating Women's 3,000 metres Relay",Winter,F,Bronze,23.0,165.0,59.5,2002
Short Track Speed Skating Women's 500 metres,Winter,F,Bronze,21.0,164.0,60.0,2002
Skeleton Women's Skeleton,Winter,F,Bronze,25.5,168.0,57.5,2008
"Ski Jumping Women's Normal Hill, Individual",Winter,F,Bronze,18.0,165.0,57.0,2014
Snowboarding Women's Boardercross,Winter,F,Bronze,25.0,176.0,63.0,2010
Snowboarding Women's Giant Slalom,Winter,F,Bronze,27.0,182.0,71.0,1998
Snowboarding Women's Halfpipe,Winter,F,Bronze,25.0,163.0,58.0,2006
Snowboarding Women's Parallel Giant Slalom,Winter,F,Bronze,28.0,172.5,60.5,2008
Snowboarding Women's Parallel Slalom,Winter,F,Bronze,26.0,168.0,56.0,2014
Snowboarding Women's Slopestyle,Winter,F,Bronze,33.0,161.0,61.0,2014
Softball Women's Softball,Summer,F,Bronze,27.0,170.0,67.0,2000
"Speed Skating Women's 1,000 metres",Winter,F,Bronze,25.0,167.0,63.0,1988
"Speed Skating Women's 1,500 metres",Winter,F,Bronze,26.0,167.5,60.5,1990
"Speed Skating Women's 3,000 metres",Winter,F,Bronze,26.0,167.0,60.5,1990
"Speed Skating Women's 5,000 metres",Winter,F,Bronze,27.5,169.5,60.5,2000
Speed Skating Women's 500 metres,Winter,F,Bronze,25.0,173.0,64.0,1992
Speed Skating Women's Team Pursuit (6 laps),Winter,F,Bronze,28.0,170.0,64.0,2010
Swimming Women's 10 kilometres Open Water,Summer,F,Bronze,23.0,172.0,65.0,2012
Swimming Women's 100 metres Backstroke,Summer,F,Bronze,20.0,173.0,63.0,1988
Swimming Women's 100 metres Breaststroke,Summer,F,Bronze,21.0,168.0,61.0,1992
Swimming Women's 100 metres Butterfly,Summer,F,Bronze,21.0,170.0,61.0,1986
Swimming Women's 100 metres Freestyle,Summer,F,Bronze,19.0,174.0,66.0,1988
Swimming Women's 200 metres Backstroke,Summer,F,Bronze,20.5,171.5,65.0,1994
Swimming Women's 200 metres Breaststroke,Summer,F,Bronze,19.0,170.0,64.0,1988
