sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
196202,98507,Mark Semyonovich Rakita,M,26.0,179.0,78.0,Russia,URS,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Team",Gold
196204,98507,Mark Semyonovich Rakita,M,30.0,179.0,78.0,Russia,URS,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's Sabre, Team",Gold
196418,98610,Henry Andreas Rambusch,M,24.0,,,Denmark,DEN,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Gold
196451,98630,Alexei Ramrez Rodrguez,M,22.0,186.0,75.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold
196556,98669,Robeisy Eloy Ramrez Carrazana,M,18.0,165.0,56.0,Cuba,CUB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Flyweight,Gold
196557,98669,Robeisy Eloy Ramrez Carrazana,M,22.0,165.0,56.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Gold
196594,98692,Soslan Lyudvikovich Ramonov,M,25.0,170.0,65.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
196713,98756,Godfrey Lionel Rampling,M,27.0,185.0,75.0,UK,GBR,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
196722,98762,William Beattie Ramsay,M,28.0,170.0,65.0,Canada,CAN,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
196749,98776,"Michael Allen ""Mike"" Ramsey",M,19.0,190.0,86.0,USA,USA,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
196752,98778,Bent nund Ramsfjell,M,34.0,179.0,78.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,Gold
196780,98793,Amarjit Singh Rana,M,20.0,175.0,63.0,India,IND,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Gold
196842,98828,Maurizio Randazzo,M,32.0,180.0,74.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Team",Gold
196843,98828,Maurizio Randazzo,M,36.0,180.0,74.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",Gold
196853,98837,"Leonard ""Leo"" Randolph",M,18.0,172.0,51.0,USA,USA,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Flyweight,Gold
196970,98886,"Thomas Matthew ""Tom"" Ransley",M,30.0,198.0,101.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
197016,98902,"Joseph Harry ""Joe"" Rantz",M,22.0,,,USA,USA,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
197025,98909,Sava Ranelovi,M,23.0,193.0,98.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
197104,98949,Bent Peder Benjamin Rasch,M,18.0,,,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
197107,98951,Michael G. Rascher,M,26.0,198.0,101.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
197119,98959,Viktor Ivanovich Rashchupkin,M,29.0,188.0,107.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Discus Throw,Gold
197129,98968,Abdul Rashid,M,21.0,170.0,75.0,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
197169,98990,Ji Raka,M,27.0,165.0,70.0,Czech Republic,TCH,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
197230,99019,Hans Kjeld Rasmussen,M,25.0,178.0,68.0,Denmark,DEN,1980 Summer,1980,Summer,Moskva,Shooting,Shooting Mixed Skeet,Gold
197242,99022,Mads Reinholdt Rasmussen (-Kirke),M,30.0,183.0,75.0,Denmark,DEN,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Gold
197268,99036,Stefan Rasmussen,M,26.0,,,Denmark,DEN,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Gold
197295,99052,Chaudhry Ghulam Rasool,M,29.0,175.0,72.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
197330,99072,Eino Rastas,M,25.0,170.0,57.0,Finland,FIN,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's Cross-Country, Team",Gold
197333,99072,Eino Rastas,M,29.0,170.0,57.0,Finland,FIN,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's Cross-Country, Team",Gold
197485,99150,Jon Erich Rauch,M,21.0,206.0,104.0,USA,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
197518,99165,Ronald Rauhe,M,22.0,179.0,82.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
197537,99175,Emil A. Rausch,M,21.0,,,Germany,GER,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 880 yard Freestyle,Gold
197538,99175,Emil A. Rausch,M,21.0,,,Germany,GER,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's One Mile Freestyle,Gold
197555,99186,Kaj Tapio Rautavaara,M,33.0,189.0,86.0,Finland,FIN,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Javelin Throw,Gold
