NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
SWE,Thomas Valter hln,M,24.0,182.0,90.0,Winter,1984,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
GER,Christian Ahlmann,M,29.0,189.0,80.0,Summer,2004,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
GER,Christian Ahlmann,M,41.0,189.0,80.0,Summer,2016,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
GER,Jrg Ahmann,M,34.0,190.0,88.0,Summer,2000,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
PAK,Manzoor Ahmed,M,24.0,169.0,75.0,Summer,1992,Hockey,Hockey Men's Hockey,Bronze
PAK,Shahbaz Ahmed,M,23.0,175.0,61.0,Summer,1992,Hockey,Hockey Men's Hockey,Bronze
ITA,Matteo Aicardi,M,30.0,192.0,102.0,Summer,2016,Water Polo,Water Polo Men's Water Polo,Bronze
GER,Hannes Aigner,M,23.0,183.0,75.0,Summer,2012,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
JPN,Yutaka Aihara,M,21.0,156.0,55.0,Summer,1992,Gymnastics,Gymnastics Men's Team All-Around,Bronze
JPN,Ryoji Aikawa,M,28.0,183.0,85.0,Summer,2004,Baseball,Baseball Men's Baseball,Bronze
GBR,Robin Allingham Aisher,M,34.0,185.0,85.0,Summer,1968,Sailing,Sailing Mixed 5.5 metres,Bronze
AUS,Brett Aitken,M,25.0,173.0,65.0,Summer,1996,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
NGR,"Oluwafemi ""Junior"" Ajayi",M,20.0,172.0,79.0,Summer,2016,Football,Football Men's Football,Bronze
CAN,Mobolade Abimbola Ajomale,M,20.0,180.0,62.0,Summer,2016,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
GBR,Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,185.0,81.0,Summer,1992,Athletics,Athletics Men's 400 metres Hurdles,Bronze
GBR,Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,185.0,81.0,Summer,1992,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
JPN,Kosei Akaishi,M,27.0,172.0,74.0,Summer,1992,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
JPN,Yuichi Akasaka,M,24.0,169.0,64.0,Winter,1992,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
UZB,Murodzhon Kakharovich Akhmadaliyev,M,21.0,165.0,56.0,Summer,2016,Boxing,Boxing Men's Bantamweight,Bronze
URS,Igor Vladimirovich Akhremchik,M,26.0,180.0,79.0,Summer,1960,Rowing,Rowing Men's Coxless Fours,Bronze
RUS,Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,Summer,2008,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
NGR,Daniel Akpeyi,M,30.0,187.0,80.0,Summer,2016,Football,Football Men's Football,Bronze
URS,Aleksandr Timofeyevich Aksinin,M,21.0,173.0,67.0,Summer,1976,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
RUS,Nikolay Aleksandrovich Aksyonov,M,26.0,201.0,100.0,Summer,1996,Rowing,Rowing Men's Coxed Eights,Bronze
SYR,Naser Al Shami,M,22.0,187.0,81.0,Summer,2004,Boxing,Boxing Men's Heavyweight,Bronze
QAT,Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,178.0,82.0,Summer,2012,Shooting,Shooting Men's Skeet,Bronze
KUW,Fehaid Al-Deehani,M,33.0,178.0,95.0,Summer,2000,Shooting,Shooting Men's Double Trap,Bronze
KUW,Fehaid Al-Deehani,M,45.0,178.0,95.0,Summer,2012,Shooting,Shooting Men's Trap,Bronze
KSA,Ramzy Al-Duhami,M,40.0,162.0,70.0,Summer,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
KSA,Khaled Al-Eid,M,31.0,175.0,57.0,Summer,2000,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
IOA,Abdullah Al-Rashidi,M,52.0,183.0,83.0,Summer,2016,Shooting,Shooting Men's Skeet,Bronze
KSA,Prince Abdullah Bin Moteb Al-Saud,M,27.0,178.0,69.0,Summer,2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
FIN,Mika Antero Alatalo,M,22.0,182.0,85.0,Winter,1994,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
ITA,Fabio Albarelli,M,25.0,179.0,80.0,Summer,1968,Sailing,Sailing Mixed One Person Dinghy,Bronze
ITA,Marco Albarello,M,33.0,187.0,84.0,Winter,1994,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,Bronze
RUS,Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,Summer,2012,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
FRG,Reinhard Alber,M,20.0,184.0,75.0,Summer,1984,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
HUN,Flrin Albert,M,18.0,182.0,75.0,Summer,1960,Football,Football Men's Football,Bronze
SWE,Ebbe Gustav Bertil Albertsson (-Andersson),M,26.0,177.0,67.0,Summer,1948,Athletics,"Athletics Men's 10,000 metres",Bronze
ITA,Abramo Albini,M,20.0,180.0,83.0,Summer,1968,Rowing,Rowing Men's Coxless Fours,Bronze
URS,Anatoly Mikhaylovich Albul,M,24.0,181.0,87.0,Summer,1960,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
BRA,Aldair Nascimento dos Santos,M,30.0,183.0,76.0,Summer,1996,Football,Football Men's Football,Bronze
LTU,Virgilijus Alekna,M,36.0,200.0,130.0,Summer,2008,Athletics,Athletics Men's Discus Throw,Bronze
URS,Veniamin Veniaminovich Aleksandrov,M,22.0,180.0,81.0,Winter,1960,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
URS,Vladimir Petrovich Aleksandrov,M,26.0,178.0,89.0,Winter,1984,Bobsleigh,Bobsleigh Men's Two,Bronze
ARM,Artur Aleksanyan,M,20.0,190.0,98.0,Summer,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
SRB,Milan Aleksi,M,26.0,193.0,96.0,Summer,2012,Water Polo,Water Polo Men's Water Polo,Bronze
FRA,Marc Robert Alexandre,M,24.0,170.0,73.0,Summer,1984,Judo,Judo Men's Half-Lightweight,Bronze
BRA,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,179.0,71.0,Summer,2008,Football,Football Men's Football,Bronze
URS,Vladimir Petrovich Aleynik,M,23.0,184.0,74.0,Summer,1976,Diving,Diving Men's Platform,Bronze
RUS,Yevgeny Vasilyevich Aleynikov,M,33.0,181.0,88.0,Summer,2000,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
BRA,"Zenny ""Algodo"" de Azevedo",M,23.0,183.0,77.0,Summer,1948,Basketball,Basketball Men's Basketball,Bronze
BRA,"Zenny ""Algodo"" de Azevedo",M,35.0,183.0,77.0,Summer,1960,Basketball,Basketball Men's Basketball,Bronze
RUS,Sergey Gennadyevich Alifirenko,M,45.0,168.0,72.0,Summer,2004,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
CRO,Mirko Alilovi,M,26.0,200.0,110.0,Summer,2012,Handball,Handball Men's Handball,Bronze
RUS,Aleksey Aleksandrovich Alipov,M,32.0,175.0,80.0,Summer,2008,Shooting,Shooting Men's Trap,Bronze
NGR,Deji Aliu,M,28.0,187.0,75.0,Summer,2004,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
FRA,mile Allais,M,23.0,168.0,68.0,Winter,1936,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
ALG,Mohamed Allalou,M,26.0,174.0,63.0,Summer,2000,Boxing,Boxing Men's Light-Welterweight,Bronze
GBR,Peter Frank Allam,M,25.0,193.0,93.0,Summer,1984,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
GBR,Alister Millar Allan,M,40.0,162.0,68.0,Summer,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
USA,John Chad Allen,M,21.0,185.0,86.0,Summer,1996,Baseball,Baseball Men's Baseball,Bronze
USA,"Scott Ethan ""Scotty"" Allen",M,14.0,163.0,69.0,Winter,1964,Figure Skating,Figure Skating Men's Singles,Bronze
USA,Wyatt Allen,M,29.0,193.0,98.0,Summer,2008,Rowing,Rowing Men's Coxed Eights,Bronze
TTO,Ade Franci Alleyne-Forte,M,23.0,180.0,73.0,Summer,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
SWE,Knut Emil Willehard Alm,M,31.0,170.0,63.0,Summer,1920,Athletics,"Athletics Men's Cross-Country, Team",Bronze
URS,Aleksandr Davletovich Almetov,M,20.0,178.0,83.0,Winter,1960,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
SWE,Erik Albin Almlf,M,20.0,188.0,73.0,Summer,1912,Athletics,Athletics Men's Triple Jump,Bronze
SWE,Erik Albin Almlf,M,28.0,188.0,73.0,Summer,1920,Athletics,Athletics Men's Triple Jump,Bronze
SWE,Arvid Folke Alnevik (Andersson-),M,28.0,182.0,70.0,Summer,1948,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
RUS,"Mikhail Surenovich ""Misha"" Aloyan",M,23.0,164.0,52.0,Summer,2012,Boxing,Boxing Men's Flyweight,Bronze
GER,Lutz Altepost,M,26.0,193.0,92.0,Summer,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
ITA,"Fernando ""Nando"" Altimani",M,18.0,177.0,70.0,Summer,1912,Athletics,Athletics Men's 10 kilometres Walk,Bronze
CHI,Cristin Andrs lvarez Valenzuela,M,20.0,173.0,62.0,Summer,2000,Football,Football Men's Football,Bronze
CUB,Jos Miguel lvarez Pozo,M,22.0,198.0,97.0,Summer,1972,Basketball,Basketball Men's Basketball,Bronze
CUB,Lzaro Jorge lvarez Estrada,M,21.0,173.0,60.0,Summer,2012,Boxing,Boxing Men's Bantamweight,Bronze
CUB,Lzaro Jorge lvarez Estrada,M,25.0,173.0,60.0,Summer,2016,Boxing,Boxing Men's Lightweight,Bronze
RUS,Maksim Nikolayevich Alyoshin,M,21.0,166.0,63.0,Summer,2000,Gymnastics,Gymnastics Men's Team All-Around,Bronze
RUS,Ivan Vladimirovich Alypov,M,23.0,169.0,60.0,Winter,2006,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Bronze
BRA,"Alexandre ""Amaral"" da Silva Mariano",M,23.0,170.0,67.0,Summer,1996,Football,Football Men's Football,Bronze
ITA,Catello Amarante,M,24.0,177.0,73.0,Summer,2004,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
