NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
USA,"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,Winter,2006,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
USA,Kevin Joseph Ahearn,M,23.0,175.0,73.0,Winter,1972,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
PAK,Riaz Ahmed,M,30.0,150.0,70.0,Summer,1972,Hockey,Hockey Men's Hockey,Silver
FIN,Janne Petteri Ahonen,M,24.0,184.0,66.0,Winter,2002,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
FIN,Janne Petteri Ahonen,M,28.0,184.0,66.0,Winter,2006,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
GER,Peter Ahrendt,M,30.0,169.0,66.0,Summer,1964,Sailing,Sailing Mixed Three Person Keelboat,Silver
GER,Thomas Ahrens,M,16.0,163.0,50.0,Summer,1964,Rowing,Rowing Men's Coxed Eights,Silver
ITA,Matteo Aicardi,M,26.0,192.0,102.0,Summer,2012,Water Polo,Water Polo Men's Water Polo,Silver
JPN,Nobuyuki Aihara,M,21.0,154.0,53.0,Summer,1956,Gymnastics,Gymnastics Men's Team All-Around,Silver
JPN,Nobuyuki Aihara,M,21.0,154.0,53.0,Summer,1956,Gymnastics,Gymnastics Men's Floor Exercise,Silver
GBR,"Charles Benedict ""Ben"" Ainslie",M,19.0,183.0,90.0,Summer,1996,Sailing,Sailing Mixed One Person Dinghy,Silver
AUS,Brett Aitken,M,21.0,173.0,65.0,Summer,1992,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
CUB,Omar Ajete Iglesias,M,35.0,175.0,93.0,Summer,2000,Baseball,Baseball Men's Baseball,Silver
NGR,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23.0,185.0,75.0,Summer,2008,Football,Football Men's Football,Silver
GBR,Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,185.0,81.0,Summer,1984,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
JPN,Kosei Akaishi,M,19.0,172.0,74.0,Summer,1984,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
TUR,Vehbi Akda,M,23.0,168.0,62.0,Summer,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
RUS,Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,Summer,2008,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
BUL,Lyutvi Dzhiber Akhmedov,M,34.0,184.0,87.0,Summer,1964,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
RUS,Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,Summer,2004,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
URS,Vladyslav Ivanovych Akymenko,M,23.0,192.0,88.0,Summer,1976,Sailing,Sailing Mixed Two Person Keelboat,Silver
KSA,Hadi Soua'an Al-Somaily Jaadan,M,23.0,191.0,72.0,Summer,2000,Athletics,Athletics Men's 400 metres Hurdles,Silver
