NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
SWE,Agneta Monica Andersson,F,23.0,172.0,68.0,Summer,1984,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
SWE,Agneta Monica Andersson,F,23.0,172.0,68.0,Summer,1984,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
SWE,Agneta Monica Andersson,F,35.0,172.0,68.0,Summer,1996,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
SWE,Lina Marie Andersson,F,24.0,158.0,58.0,Winter,2006,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Gold
GDR,Carola Anding (-Jacob),F,19.0,168.0,53.0,Winter,1980,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
AUS,"Michelle ""Shelley"" Andrews (-Mitchell)",F,24.0,168.0,59.0,Summer,1996,Hockey,Hockey Women's Hockey,Gold
USA,Theresa Andrews,F,21.0,167.0,62.0,Summer,1984,Swimming,Swimming Women's 100 metres Backstroke,Gold
USA,Theresa Andrews,F,21.0,167.0,62.0,Summer,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
URS,Yelena Valentinovna Andreyuk (-Chesnokova),F,21.0,180.0,85.0,Summer,1980,Volleyball,Volleyball Women's Volleyball,Gold
FRA,Marina Vyacheslavovna Anissina (-Dzhigurda),F,26.0,162.0,52.0,Winter,2002,Figure Skating,Figure Skating Mixed Ice Dancing,Gold
GDR,Hannelore Anke (-Hofmann),F,18.0,160.0,52.0,Summer,1976,Swimming,Swimming Women's 100 metres Breaststroke,Gold
GDR,Hannelore Anke (-Hofmann),F,18.0,160.0,52.0,Summer,1976,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
AUS,Alyson Regina Annan,F,23.0,162.0,65.0,Summer,1996,Hockey,Hockey Women's Hockey,Gold
AUS,Alyson Regina Annan,F,27.0,162.0,65.0,Summer,2000,Hockey,Hockey Women's Hockey,Gold
JPN,Noriko Anno,F,28.0,162.0,76.0,Summer,2004,Judo,Judo Women's Half-Heavyweight,Gold
GER,Daniela Anschtz-Thoms,F,31.0,165.0,60.0,Winter,2006,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
GER,Daniela Anschtz-Thoms,F,35.0,165.0,60.0,Winter,2010,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
GBR,Giselle Anne Ansley,F,24.0,176.0,73.0,Summer,2016,Hockey,Hockey Women's Hockey,Gold
CAN,Dana Antal,F,24.0,170.0,64.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
RUS,Nataliya Nikolayevna Antyukh,F,31.0,182.0,69.0,Summer,2012,Athletics,Athletics Women's 400 metres Hurdles,Gold
JPN,Mayumi Aoki (-Nishiguti),F,19.0,164.0,63.0,Summer,1972,Swimming,Swimming Women's 100 metres Butterfly,Gold
GER,Katrin Apel,F,24.0,172.0,62.0,Winter,1998,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold
GER,Katrin Apel,F,28.0,172.0,62.0,Winter,2002,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Gold
ROU,Chira Irina Apostol (-Stoian),F,24.0,180.0,78.0,Summer,1984,Rowing,Rowing Women's Coxed Fours,Gold
CAN,Gillian Mary Apps,F,22.0,180.0,80.0,Winter,2006,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
CAN,Gillian Mary Apps,F,26.0,180.0,80.0,Winter,2010,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
CAN,Gillian Mary Apps,F,30.0,180.0,80.0,Winter,2014,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
JPN,Shizuka Arakawa,F,24.0,164.0,50.0,Winter,2006,Figure Skating,Figure Skating Women's Singles,Gold
JPN,Yuko Arakida,F,22.0,173.0,67.0,Summer,1976,Volleyball,Volleyball Women's Volleyball,Gold
ITA,Alexandra Araujo,F,32.0,167.0,67.0,Summer,2004,Water Polo,Water Polo Women's Water Polo,Gold
ROU,Rodica Arba-Pucatu,F,22.0,179.0,75.0,Summer,1984,Rowing,Rowing Women's Coxless Pairs,Gold
ROU,Rodica Arba-Pucatu,F,26.0,179.0,75.0,Summer,1988,Rowing,Rowing Women's Coxless Pairs,Gold
GBR,Katie Louise Archibald,F,22.0,178.0,70.0,Summer,2016,Cycling,Cycling Women's Team Pursuit,Gold
USA,"Elizabeth ""Betsey"" Armstrong",F,29.0,188.0,77.0,Summer,2012,Water Polo,Water Polo Women's Water Polo,Gold
USA,"Debra Rae ""Debbie"" Armstrong",F,20.0,165.0,62.0,Winter,1984,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
AUS,"Jennifer Margaret ""Jenny"" Armstrong",F,30.0,171.0,59.0,Summer,2000,Sailing,Sailing Women's Two Person Dinghy,Gold
USA,Kristin Ann Armstrong (-Savola),F,34.0,173.0,58.0,Summer,2008,Cycling,Cycling Women's Individual Time Trial,Gold
USA,Kristin Ann Armstrong (-Savola),F,38.0,173.0,58.0,Summer,2012,Cycling,Cycling Women's Individual Time Trial,Gold
USA,Kristin Ann Armstrong (-Savola),F,42.0,173.0,58.0,Summer,2016,Cycling,Cycling Women's Individual Time Trial,Gold
USA,"Samantha ""Sam"" Arsenault (-Livingstone)",F,18.0,178.0,69.0,Summer,2000,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
