NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
JPN,Kozue Ando,F,30.0,164.0,57.0,Summer,2012,Football,Football Women's Football,Silver
JPN,Misako Ando,F,29.0,163.0,60.0,Summer,2000,Softball,Softball Women's Softball,Silver
NOR,Gunn Margit Aas Andreassen,F,28.0,177.0,60.0,Winter,2002,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
BRA,Andria Suntaque,F,26.0,175.0,65.0,Summer,2004,Football,Football Women's Football,Silver
BRA,Andria Suntaque,F,30.0,175.0,65.0,Summer,2008,Football,Football Women's Football,Silver
AUS,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,162.0,54.0,Summer,1960,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
RUS,Yekaterina Sergeyevna Andryushina,F,22.0,185.0,70.0,Summer,2008,Handball,Handball Women's Handball,Silver
URS,Tatyana Mikhaylovna Anisimova (Poluboyarova-),F,26.0,172.0,65.0,Summer,1976,Athletics,Athletics Women's 100 metres Hurdles,Silver
URS,Vera Vasilyevna Anisimova (Mikheyeva-),F,28.0,167.0,52.0,Summer,1980,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
ROU,Herta Anita,F,26.0,183.0,82.0,Summer,1988,Rowing,Rowing Women's Coxed Eights,Silver
HUN,Mrta Antal-Rudas,F,27.0,164.0,66.0,Summer,1964,Athletics,Athletics Women's Javelin Throw,Silver
FRA,Dborah Jessica Anthonioz,F,31.0,165.0,52.0,Winter,2010,Snowboarding,Snowboarding Women's Boardercross,Silver
ARG,Mariela Andrea Antoniska Arrondo,F,25.0,170.0,70.0,Summer,2000,Hockey,Hockey Women's Hockey,Silver
RUS,Nataliya Nikolayevna Antyukh,F,23.0,182.0,69.0,Summer,2004,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
RUS,Nataliya Nikolayevna Antyukh,F,31.0,182.0,69.0,Summer,2012,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
GER,Katrin Apel,F,32.0,172.0,62.0,Winter,2006,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Silver
FRG,"Gabriele Marion ""Gaby"" Appel (-Reimann)",F,26.0,154.0,49.0,Summer,1984,Hockey,Hockey Women's Hockey,Silver
NED,Tessa Appeldoorn,F,27.0,177.0,71.0,Summer,2000,Rowing,Rowing Women's Coxed Eights,Silver
SWE,Emilia Elisabeth Appelqvist,F,26.0,168.0,65.0,Summer,2016,Football,Football Women's Football,Silver
ROU,Rodica Arba-Pucatu,F,26.0,179.0,75.0,Summer,1988,Rowing,Rowing Women's Coxed Eights,Silver
YUG,Anelija Arbutina (-arenac),F,21.0,178.0,68.0,Summer,1988,Basketball,Basketball Women's Basketball,Silver
JPN,Yuko Arimori (-Wilson),F,25.0,166.0,47.0,Summer,1992,Athletics,Athletics Women's Marathon,Silver
ROU,Mihaela Armescu,F,20.0,180.0,74.0,Summer,1984,Rowing,Rowing Women's Coxed Eights,Silver
ROU,Mihaela Armescu,F,25.0,180.0,74.0,Summer,1988,Rowing,Rowing Women's Coxed Eights,Silver
CAN,Barbara Armbrust,F,20.0,180.0,79.0,Summer,1984,Rowing,Rowing Women's Coxed Fours,Silver
GBR,"Heather Joy Armitage (-Young, -McClelland)",F,23.0,171.0,64.0,Summer,1956,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
GBR,"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",F,23.0,168.0,55.0,Summer,2012,Cycling,"Cycling Women's Road Race, Individual",Silver
USA,"Elizabeth ""Betsey"" Armstrong",F,25.0,188.0,77.0,Summer,2008,Water Polo,Water Polo Women's Water Polo,Silver
GER,Judith Arndt,F,28.0,173.0,59.0,Summer,2004,Cycling,"Cycling Women's Road Race, Individual",Silver
GER,Judith Arndt,F,36.0,173.0,59.0,Summer,2012,Cycling,Cycling Women's Individual Time Trial,Silver
ARG,Ins Arrondo,F,22.0,167.0,58.0,Summer,2000,Hockey,Hockey Women's Hockey,Silver
EUN,Yevgeniya Viktorovna Artamonova-Estes,F,17.0,191.0,75.0,Summer,1992,Volleyball,Volleyball Women's Volleyball,Silver
RUS,Yevgeniya Viktorovna Artamonova-Estes,F,25.0,191.0,75.0,Summer,2000,Volleyball,Volleyball Women's Volleyball,Silver
RUS,Yevgeniya Viktorovna Artamonova-Estes,F,29.0,191.0,75.0,Summer,2004,Volleyball,Volleyball Women's Volleyball,Silver
JPN,Mao Asada,F,19.0,163.0,50.0,Winter,2010,Figure Skating,Figure Skating Women's Singles,Silver
