NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
ESP,Jessica Alonso Bernardo,F,28.0,172.0,65.0,Summer,2012,Handball,Handball Women's Handball,Bronze
SWE,Malin Therse Alshammar,F,23.0,180.0,64.0,Summer,2000,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
NOR,Ida Alstad,F,31.0,172.0,60.0,Summer,2016,Handball,Handball Women's Handball,Bronze
SUI,Livia Altmann,F,19.0,165.0,64.0,Winter,2014,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
COL,Yuri Alvear Orjuela,F,26.0,176.0,70.0,Summer,2012,Judo,Judo Women's Middleweight,Bronze
ROU,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Summer,1996,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
ROU,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Summer,1996,Gymnastics,Gymnastics Women's Team All-Around,Bronze
ROU,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Summer,2000,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
URS,Ingrda Amantova,F,19.0,170.0,69.0,Winter,1980,Luge,Luge Women's Singles,Bronze
ARG,Serena Bibiana Amato,F,26.0,170.0,63.0,Summer,2000,Sailing,Sailing Women's One Person Dinghy,Bronze
AUS,"Judith Florence ""Judy"" Amoore-Pollock",F,24.0,163.0,55.0,Summer,1964,Athletics,Athletics Women's 400 metres,Bronze
ESP,Vanessa Amors Quiles,F,29.0,165.0,62.0,Summer,2012,Handball,Handball Women's Handball,Bronze
TUN,Marwa Al-Amri,F,27.0,160.0,58.0,Summer,2016,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze
CAN,Gail Amundrud (-Beattie),F,19.0,183.0,70.0,Summer,1976,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
KOR,An Jeong-Hwa,F,27.0,162.0,62.0,Summer,2008,Handball,Handball Women's Handball,Bronze
BRA,Ana Flvia Chritaro Daniel Sanglard,F,26.0,187.0,73.0,Summer,1996,Volleyball,Volleyball Women's Volleyball,Bronze
BRA,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,24.0,183.0,68.0,Summer,1996,Volleyball,Volleyball Women's Volleyball,Bronze
USA,"Elizabeth Rambo ""Beth"" Anders",F,32.0,174.0,73.0,Summer,1984,Hockey,Hockey Women's Hockey,Bronze
DEN,Anne Dsane Andersen,F,23.0,183.0,86.0,Summer,2016,Rowing,Rowing Women's Coxless Pairs,Bronze
NOR,Anne Nymark Andersen (-Rylandsholm),F,23.0,168.0,56.0,Summer,1996,Football,Football Women's Football,Bronze
NOR,Nina Nymark Andersen (-Jakobsen),F,23.0,173.0,60.0,Summer,1996,Football,Football Women's Football,Bronze
SWE,Agneta Monica Andersson,F,31.0,172.0,68.0,Summer,1992,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
SWE,Agneta Monica Andersson,F,35.0,172.0,68.0,Summer,1996,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
SWE,Anna Christina Andersson,F,20.0,169.0,63.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
SWE,Gunilla Victoria Andersson,F,26.0,169.0,69.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
NOR,Gunn Margit Aas Andreassen,F,24.0,177.0,60.0,Winter,1998,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
AUS,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,162.0,54.0,Summer,1960,Swimming,Swimming Women's 100 metres Butterfly,Bronze
GER,Nadine Marejke Angerer,F,29.0,174.0,70.0,Summer,2008,Football,Football Women's Football,Bronze
HUN,va Angyal,F,21.0,163.0,63.0,Summer,1976,Handball,Handball Women's Handball,Bronze
RUS,Yekaterina Yevgenyevna Anikeyeva,F,31.0,178.0,63.0,Summer,2000,Water Polo,Water Polo Women's Water Polo,Bronze
URS,Nataliya Yuryevna Anisimova (Guskova-),F,27.0,174.0,70.0,Summer,1988,Handball,Handball Women's Handball,Bronze
EUN,Nataliya Yuryevna Anisimova (Guskova-),F,31.0,174.0,70.0,Summer,1992,Handball,Handball Women's Handball,Bronze
URS,Vera Vasilyevna Anisimova (Mikheyeva-),F,24.0,167.0,52.0,Summer,1976,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
FRA,Marina Vyacheslavovna Anissina (-Dzhigurda),F,22.0,162.0,52.0,Winter,1998,Figure Skating,Figure Skating Mixed Ice Dancing,Bronze
ROU,Herta Anita,F,26.0,183.0,82.0,Summer,1988,Rowing,Rowing Women's Coxed Fours,Bronze
ARG,Mariela Andrea Antoniska Arrondo,F,29.0,170.0,70.0,Summer,2004,Hockey,Hockey Women's Hockey,Bronze
UKR,Olena Anatolivna Antonova,F,36.0,180.0,95.0,Summer,2008,Athletics,Athletics Women's Discus Throw,Bronze
URS,Yelena Petrovna Antonova,F,23.0,180.0,78.0,Summer,1976,Rowing,Rowing Women's Single Sculls,Bronze
RUS,Nataliya Nikolayevna Antyukh,F,23.0,182.0,69.0,Summer,2004,Athletics,Athletics Women's 400 metres,Bronze
GER,Katrin Apel,F,24.0,172.0,62.0,Winter,1998,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Bronze
ROU,Angelica Aposteanu (Chertic-),F,25.0,175.0,67.0,Summer,1980,Rowing,Rowing Women's Coxed Eights,Bronze
JPN,Erika Araki,F,27.0,186.0,78.0,Summer,2012,Volleyball,Volleyball Women's Volleyball,Bronze
BRA,Adriana dos Santos Arajo,F,30.0,167.0,60.0,Summer,2012,Boxing,Boxing Women's Lightweight,Bronze
ROU,Rodica Arba-Pucatu,F,18.0,179.0,75.0,Summer,1980,Rowing,Rowing Women's Coxed Eights,Bronze
GBR,Daphne Arden (-Slater),F,22.0,167.0,60.0,Summer,1964,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
JPN,Yuko Arimori (-Wilson),F,29.0,166.0,47.0,Summer,1996,Athletics,Athletics Women's Marathon,Bronze
RUS,Anna Valeryevna Arkhipova,F,31.0,176.0,63.0,Summer,2004,Basketball,Basketball Women's Basketball,Bronze
ROU,Mihaela Armescu,F,25.0,180.0,74.0,Summer,1988,Rowing,Rowing Women's Coxed Fours,Bronze
GBR,"Heather Joy Armitage (-Young, -McClelland)",F,19.0,171.0,64.0,Summer,1952,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
GER,Judith Arndt,F,19.0,173.0,59.0,Summer,1996,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze
FRA,Virginie Arnold,F,28.0,155.0,50.0,Summer,2008,Archery,Archery Women's Team,Bronze
NOR,Emilie Hegh Arntzen,F,22.0,183.0,78.0,Summer,2016,Handball,Handball Women's Handball,Bronze
FRA,Christine Arron,F,30.0,177.0,64.0,Summer,2004,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
ARG,Ins Arrondo,F,26.0,167.0,58.0,Summer,2004,Hockey,Hockey Women's Hockey,Bronze
RUS,Olga Dmitriyevna Arteshina,F,21.0,191.0,78.0,Summer,2004,Basketball,Basketball Women's Basketball,Bronze
EUN,Loedmila Arzjannikova,F,34.0,168.0,62.0,Summer,1992,Archery,Archery Women's Team,Bronze
GBR,"Geraldina Rachel ""Dina"" Asher-Smith",F,20.0,164.0,55.0,Summer,2016,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
USA,Jeanne Chesley Ashworth (-Walker-),F,21.0,157.0,57.0,Winter,1960,Speed Skating,Speed Skating Women's 500 metres,Bronze
ETH,Sofia Assefa Abebe,F,24.0,167.0,52.0,Summer,2012,Athletics,"Athletics Women's 3,000 metres Steeplechase",Bronze
URS,Polina Hryhorivna Astakhova,F,20.0,166.0,56.0,Summer,1956,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
URS,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Summer,1960,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
URS,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Summer,1964,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
AZE,rad Suleyman Aumova,F,46.0,158.0,57.0,Summer,2004,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
POL,Halina Aszkieowicz (-Wojno),F,21.0,179.0,70.0,Summer,1968,Volleyball,Volleyball Women's Volleyball,Bronze
GBR,"Gillian ""Jill"" Atkins",F,29.0,165.0,65.0,Summer,1992,Hockey,Hockey Women's Hockey,Bronze
USA,"Susanne Jean ""Susie"" Atwood",F,19.0,170.0,66.0,Summer,1972,Swimming,Swimming Women's 100 metres Backstroke,Bronze
GDR,Ingrid Auerswald-Lange (Brestrich-),F,22.0,168.0,58.0,Summer,1980,Athletics,Athletics Women's 100 metres,Bronze
GER,Sandra Auffarth,F,25.0,170.0,57.0,Summer,2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
NOR,Inger Reidun Aufles (Dving-),F,26.0,165.0,54.0,Winter,1968,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Bronze
NOR,Inger Reidun Aufles (Dving-),F,30.0,165.0,54.0,Winter,1972,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
NOR,Berit Kristine Aunli-Kvello,F,23.0,170.0,56.0,Winter,1980,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
URS,Tatyana Borisovna Averina-Barabash,F,25.0,165.0,61.0,Winter,1976,Speed Skating,Speed Skating Women's 500 metres,Bronze
URS,Tatyana Borisovna Averina-Barabash,F,25.0,165.0,61.0,Winter,1976,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
MEX,Mariana Avitia Martnez,F,18.0,164.0,61.0,Summer,2012,Archery,Archery Women's Individual,Bronze
ETH,Almaz Ayana Eba,F,24.0,166.0,47.0,Summer,2016,Athletics,"Athletics Women's 5,000 metres",Bronze
ARG,"Luciana Paula ""Lucha"" Aymar",F,27.0,178.0,59.0,Summer,2004,Hockey,Hockey Women's Hockey,Bronze
ARG,"Luciana Paula ""Lucha"" Aymar",F,30.0,178.0,59.0,Summer,2008,Hockey,Hockey Women's Hockey,Bronze
BLR,"Viktoriya Fyodorovna ""Vika"" Azarenko",F,22.0,183.0,60.0,Summer,2012,Tennis,Tennis Women's Singles,Bronze
RUS,Karina Borisovna Aznavuryan,F,21.0,170.0,59.0,Summer,1996,Fencing,"Fencing Women's epee, Team",Bronze
CHN,Ba Yan,F,21.0,183.0,78.0,Summer,1984,Basketball,Basketball Women's Basketball,Bronze
NED,"Christina Wilhelmina ""Stien"" Baas-Kaiser",F,29.0,174.0,69.0,Winter,1968,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
NED,"Christina Wilhelmina ""Stien"" Baas-Kaiser",F,29.0,174.0,69.0,Winter,1968,Speed Skating,"Speed Skating Women's 3,000 metres",Bronze
UKR,Inha Alvidasivna Babakova (Butkus-),F,29.0,180.0,60.0,Summer,1996,Athletics,Athletics Women's High Jump,Bronze
URS,Svetlana Viktorovna Babanina,F,21.0,173.0,62.0,Summer,1964,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
URS,Svetlana Viktorovna Babanina,F,21.0,173.0,62.0,Summer,1964,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
BLR,Alesya Aleksandrovna Babushkina,F,19.0,170.0,55.0,Summer,2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
GER,Isabell Bachor,F,21.0,174.0,63.0,Summer,2004,Football,Football Women's Football,Bronze
KOR,Bae Min-Hee,F,20.0,169.0,56.0,Summer,2008,Handball,Handball Women's Handball,Bronze
KOR,Baek Myeong-Seon,F,20.0,173.0,64.0,Summer,1976,Volleyball,Volleyball Women's Volleyball,Bronze
USA,Shannon Deanne Bahrke,F,29.0,162.0,55.0,Winter,2010,Freestyle Skiing,Freestyle Skiing Women's Moguls,Bronze
FRA,Sandrine Bailly,F,26.0,172.0,58.0,Winter,2006,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
GER,"Fatmire ""Lira"" Bajramaj (-Alushi)",F,20.0,170.0,58.0,Summer,2008,Football,Football Women's Football,Bronze
CAN,Glenys Bakker,F,43.0,170.0,73.0,Winter,2006,Curling,Curling Women's Curling,Bronze
BUL,"Ani Stoyanova ""Anka"" Bakova",F,23.0,175.0,75.0,Summer,1980,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
UKR,Hanna Serhivna Balabanova (Nepitaieva-),F,34.0,178.0,72.0,Summer,2004,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
ROU,Anioara Blan-Dobre,F,22.0,176.0,71.0,Summer,1988,Rowing,Rowing Women's Quadruple Sculls,Bronze
GER,Brita Pia Baldus,F,27.0,157.0,51.0,Summer,1992,Diving,Diving Women's Springboard,Bronze
GBR,Ashleigh Julia Ball,F,26.0,181.0,70.0,Summer,2012,Hockey,Hockey Women's Hockey,Bronze
FRA,Coralie Balmy,F,25.0,180.0,67.0,Summer,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
HUN,Klra Bnfalvi-Fried,F,29.0,172.0,76.0,Summer,1960,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
USA,Kayla Banwarth,F,27.0,178.0,70.0,Summer,2016,Volleyball,Volleyball Women's Volleyball,Bronze
ROU,Enik Barabs-Mironcic,F,22.0,181.0,74.0,Summer,2008,Rowing,Rowing Women's Coxed Eights,Bronze
RUS,Yelena Viktorovna Baranova,F,32.0,192.0,80.0,Summer,2004,Basketball,Basketball Women's Basketball,Bronze
ARG,Georgina Bardach Martin,F,20.0,172.0,63.0,Summer,2004,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
FRA,Anne-Lise Bardet,F,30.0,169.0,58.0,Summer,2000,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
URS,Olesya Ivanovna Barel,F,28.0,190.0,78.0,Summer,1988,Basketball,Basketball Women's Basketball,Bronze
USA,Jane Louise Barkman (-Brown),F,17.0,169.0,61.0,Summer,1968,Swimming,Swimming Women's 200 metres Freestyle,Bronze
ESP,Andrea Barno San Martn,F,32.0,175.0,64.0,Summer,2012,Handball,Handball Women's Handball,Bronze
AUS,Bronte Amelia Arnold Barratt,F,23.0,171.0,59.0,Summer,2012,Swimming,Swimming Women's 200 metres Freestyle,Bronze
CAN,Alexandra Barr (Sandor-),F,26.0,173.0,59.0,Summer,1984,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
USA,"Jennifer Mae ""Jenny"" Barringer-Simpson",F,29.0,166.0,53.0,Summer,2016,Athletics,"Athletics Women's 1,500 metres",Bronze
ARG,Mara Noel Barrionuevo,F,24.0,171.0,58.0,Summer,2008,Hockey,Hockey Women's Hockey,Bronze
CUB,Zoila Barros Fernndez,F,28.0,188.0,72.0,Summer,2004,Volleyball,Volleyball Women's Volleyball,Bronze
SVK,Danka Bartekov,F,27.0,170.0,55.0,Summer,2012,Shooting,Shooting Women's Skeet,Bronze
GBR,Laura Bartlett,F,24.0,169.0,63.0,Summer,2012,Hockey,Hockey Women's Hockey,Bronze
USA,Alison Bartosik,F,21.0,172.0,64.0,Summer,2004,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
USA,Alison Bartosik,F,21.0,172.0,64.0,Summer,2004,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
RUS,Varvara Borisovna Barysheva,F,28.0,168.0,62.0,Winter,2006,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
RUS,Anastasiya Vladimirovna Baryshnikova,F,21.0,173.0,67.0,Summer,2012,Taekwondo,Taekwondo Women's Heavyweight,Bronze
ESP,Clara Basiana Caellas,F,21.0,170.0,39.0,Summer,2012,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
AUS,Suzy Batkovic (-Brown),F,31.0,195.0,89.0,Summer,2012,Basketball,Basketball Women's Basketball,Bronze
GER,Sabine Christiane Bau,F,27.0,180.0,66.0,Summer,1996,Fencing,"Fencing Women's Foil, Team",Bronze
GER,Sabine Christiane Bau,F,31.0,180.0,66.0,Summer,2000,Fencing,"Fencing Women's Foil, Team",Bronze
GER,Viola Bauer,F,25.0,167.0,61.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,Bronze
GDR,Maritta Bauerschmidt (-Grieig),F,18.0,158.0,43.0,Summer,1968,Gymnastics,Gymnastics Women's Team All-Around,Bronze
USA,Allison Baver,F,29.0,160.0,57.0,Winter,2010,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
FRA,Florence  Andre Isabelle Baverel-Robert,F,31.0,167.0,60.0,Winter,2006,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
GBR,Lisa Jayne Bayliss,F,25.0,167.0,68.0,Summer,1992,Hockey,Hockey Women's Hockey,Bronze
URS,Maryna Viktorivna Bazanova,F,25.0,168.0,70.0,Summer,1988,Handball,Handball Women's Handball,Bronze
EUN,Maryna Viktorivna Bazanova,F,29.0,168.0,70.0,Summer,1992,Handball,Handball Women's Handball,Bronze
AUS,Gemma Beadsworth,F,21.0,180.0,78.0,Summer,2008,Water Polo,Water Polo Women's Water Polo,Bronze
AUS,Gemma Beadsworth,F,25.0,180.0,78.0,Summer,2012,Water Polo,Water Polo Women's Water Polo,Bronze
USA,Amanda Ray Beard (-Brown),F,18.0,173.0,59.0,Summer,2000,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
CAN,Lyne Beaumont,F,22.0,170.0,56.0,Summer,2000,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
USA,Robin Mary Beauregard,F,25.0,175.0,81.0,Summer,2004,Water Polo,Water Polo Women's Water Polo,Bronze
