Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Athletics Men's 200 metres Hurdles,Summer,M,Gold,111146.0,56145.0,22.5,181.5,70.5,1902.0
"Athletics Men's 3 mile, Team",Summer,M,Gold,88964.0,45105.0,23.0,168.5,57.5,1908.0
"Athletics Men's 3,000 metres Steeplechase",Summer,M,Gold,115694.0,58614.0,27.0,175.0,64.0,1972.0
"Athletics Men's 3,000 metres Walk",Summer,M,Gold,153880.0,77413.5,22.5,171.0,55.0,1913.0
"Athletics Men's 3,000 metres, Team",Summer,M,Gold,156439.0,78588.0,23.5,174.5,65.0,1920.0
"Athletics Men's 3,200 metres Steeplechase",Summer,M,Gold,206384.0,103600.0,22.0,170.0,60.0,1908.0
"Athletics Men's 3,500 metres Walk",Summer,M,Gold,132568.0,66731.0,33.0,175.0,67.0,1908.0
"Athletics Men's 4 mile, Team",Summer,M,Gold,188850.0,94865.0,20.0,176.0,74.0,1904.0
Athletics Men's 4 x 100 metres Relay,Summer,M,Gold,109168.5,55191.0,23.0,180.0,74.5,1974.0
Athletics Men's 4 x 400 metres Relay,Summer,M,Gold,150752.0,75629.0,23.0,183.0,75.0,1978.0
"Athletics Men's 4,000 metres Steeplechase",Summer,M,Gold,200852.0,100882.0,22.0,,,1900.0
Athletics Men's 400 metres,Summer,M,Gold,137783.0,69259.0,22.0,183.0,75.5,1960.0
Athletics Men's 400 metres Hurdles,Summer,M,Gold,119066.0,59953.0,24.0,186.0,75.0,1966.0
Athletics Men's 5 mile,Summer,M,Gold,173100.0,86944.5,24.0,165.0,53.0,1907.0
"Athletics Men's 5,000 metres",Summer,M,Gold,132828.0,66851.0,26.5,175.0,60.0,1970.0
"Athletics Men's 5,000 metres, Team",Summer,M,Gold,202022.0,101468.0,23.0,176.5,70.5,1900.0
Athletics Men's 50 kilometres Walk,Summer,M,Gold,124627.0,62932.0,30.0,178.0,64.0,1980.0
Athletics Men's 56-pound Weight Throw,Summer,M,Gold,104260.5,52642.0,36.0,187.5,107.0,1912.0
Athletics Men's 60 metres,Summer,M,Gold,107264.5,54216.0,23.0,175.0,69.5,1902.0
Athletics Men's 800 metres,Summer,M,Gold,179488.0,90192.0,23.0,183.0,71.5,1960.0
Athletics Men's All-Around Championship,Summer,M,Gold,117809.0,59615.0,34.0,,,1904.0
"Athletics Men's Cross-Country, Individual",Summer,M,Gold,173961.0,87390.0,22.0,174.0,65.0,1920.0
"Athletics Men's Cross-Country, Team",Summer,M,Gold,141825.0,71203.0,26.0,172.0,63.0,1916.0
Athletics Men's Decathlon,Summer,M,Gold,163889.0,82250.0,25.0,186.0,88.0,1968.0
Athletics Men's Discus Throw,Summer,M,Gold,113063.0,57280.0,27.0,192.0,112.5,1960.0
"Athletics Men's Discus Throw, Both Hands",Summer,M,Gold,234971.0,117837.0,21.0,191.0,92.5,1912.0
"Athletics Men's Discus Throw, Greek Style",Summer,M,Gold,162468.0,81781.5,31.5,186.0,91.5,1907.0
Athletics Men's Hammer Throw,Summer,M,Gold,166270.0,83502.0,29.0,185.0,106.0,1964.0
