Event,Season,Sex,Medal,Age,Height,Weight,Year
Bobsleigh Men's Two,Winter,M,Gold,30.0,184.5,93.0,1992
Boxing Men's Bantamweight,Summer,M,Gold,22.0,165.5,54.0,1982
Boxing Men's Featherweight,Summer,M,Gold,20.0,168.0,57.0,1978
Boxing Men's Flyweight,Summer,M,Gold,22.0,165.0,51.0,1980
Boxing Men's Heavyweight,Summer,M,Gold,24.0,190.0,91.0,1982
Boxing Men's Light-Flyweight,Summer,M,Gold,23.0,165.0,48.0,1992
Boxing Men's Light-Heavyweight,Summer,M,Gold,23.0,184.5,81.0,1986
Boxing Men's Light-Middleweight,Summer,M,Gold,23.0,176.0,71.0,1980
Boxing Men's Light-Welterweight,Summer,M,Gold,23.0,171.0,64.0,1986
Boxing Men's Lightweight,Summer,M,Gold,23.5,170.0,60.0,1986
Boxing Men's Middleweight,Summer,M,Gold,23.0,182.0,75.0,1980
Boxing Men's Super-Heavyweight,Summer,M,Gold,23.5,194.5,100.75,1998
Boxing Men's Welterweight,Summer,M,Gold,24.0,176.0,67.0,1980
"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,M,Gold,24.0,178.0,80.0,1988
"Canoeing Men's Canadian Doubles, 10,000 metres",Summer,M,Gold,20.0,173.0,72.0,1952
"Canoeing Men's Canadian Doubles, 500 metres",Summer,M,Gold,24.0,180.0,80.5,1992
"Canoeing Men's Canadian Doubles, Slalom",Summer,M,Gold,26.0,177.0,75.0,2002
"Canoeing Men's Canadian Singles, 1,000 metres",Summer,M,Gold,24.0,183.0,84.0,1984
"Canoeing Men's Canadian Singles, 10,000 metres",Summer,M,Gold,24.5,179.5,80.5,1954
"Canoeing Men's Canadian Singles, 200 metres",Summer,M,Gold,28.0,185.0,93.0,2014
"Canoeing Men's Canadian Singles, 500 metres",Summer,M,Gold,25.0,184.0,83.0,1992
"Canoeing Men's Canadian Singles, Slalom",Summer,M,Gold,24.0,183.0,74.0,2002
"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,M,Gold,26.0,183.0,84.0,1984
"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,M,Gold,29.0,175.0,73.5,1952
"Canoeing Men's Kayak Doubles, 200 metres",Summer,M,Gold,23.5,186.5,87.5,2014
"Canoeing Men's Kayak Doubles, 500 metres",Summer,M,Gold,25.0,181.5,85.0,1992
"Canoeing Men's Kayak Fours, 1,000 metres",Summer,M,Gold,25.0,186.5,87.0,1990
Canoeing Men's Kayak Relay 4 x 500 metres,Summer,M,Gold,24.5,178.5,80.0,1960
"Canoeing Men's Kayak Singles, 1,000 metres",Summer,M,Gold,26.5,185.0,81.5,1982
"Canoeing Men's Kayak Singles, 10,000 metres",Summer,M,Gold,32.5,176.0,72.0,1952
"Canoeing Men's Kayak Singles, 200 metres",Summer,M,Gold,29.5,177.5,80.0,2014
"Canoeing Men's Kayak Singles, 500 metres",Summer,M,Gold,25.0,187.0,89.5,1992
"Canoeing Men's Kayak Singles, Slalom",Summer,M,Gold,23.5,179.5,73.5,2002
Cross Country Skiing Men's 10 kilometres,Winter,M,Gold,28.0,180.0,73.0,1992
Cross Country Skiing Men's 10/10 kilometres Pursuit,Winter,M,Gold,29.5,189.0,82.0,2002
Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,M,Gold,26.0,190.0,82.0,1998
Cross Country Skiing Men's 15 kilometres,Winter,M,Gold,26.0,182.0,74.0,1984
Cross Country Skiing Men's 18 kilometres,Winter,M,Gold,23.0,163.0,59.0,1936
Cross Country Skiing Men's 30 kilometres,Winter,M,Gold,27.0,177.0,68.0,1980
Cross Country Skiing Men's 30 km Skiathlon,Winter,M,Gold,24.0,182.0,75.0,2010
Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,M,Gold,28.0,180.0,71.0,1984
Cross Country Skiing Men's 50 kilometres,Winter,M,Gold,27.0,180.0,74.0,1976
Cross Country Skiing Men's Sprint,Winter,M,Gold,27.5,186.0,82.0,2008
Cross Country Skiing Men's Team Sprint,Winter,M,Gold,27.0,184.0,82.5,2010
Curling Men's Curling,Winter,M,Gold,30.5,180.0,82.5,2006
"Cycling Men's 1,000 metres Time Trial",Summer,M,Gold,23.5,180.0,78.0,1982
Cycling Men's 100 kilometres Team Time Trial,Summer,M,Gold,22.0,180.0,74.5,1976
Cycling Men's BMX,Summer,M,Gold,23.0,186.0,90.0,2012
"Cycling Men's Individual Pursuit, 4,000 metres",Summer,M,Gold,23.5,185.0,79.5,1986
Cycling Men's Individual Time Trial,Summer,M,Gold,33.0,186.0,80.0,2006
Cycling Men's Keirin,Summer,M,Gold,28.0,182.0,90.0,2008
Cycling Men's Madison,Summer,M,Gold,30.5,177.0,72.0,2004
"Cycling Men's Mountainbike, Cross-Country",Summer,M,Gold,27.0,180.0,68.0,2006
Cycling Men's Omnium,Summer,M,Gold,23.5,178.5,71.5,2014
Cycling Men's Points Race,Summer,M,Gold,27.0,178.0,71.0,1996
"Cycling Men's Road Race, Individual",Summer,M,Gold,26.0,178.0,72.0,1988
"Cycling Men's Road Race, Team",Summer,M,Gold,21.0,182.0,72.0,1924
Cycling Men's Sprint,Summer,M,Gold,24.0,183.0,90.0,1988
"Cycling Men's Tandem Sprint, 2,000 metres",Summer,M,Gold,24.0,174.0,73.0,1960
"Cycling Men's Team Pursuit, 4,000 metres",Summer,M,Gold,24.0,182.0,75.0,1988
Cycling Men's Team Sprint,Summer,M,Gold,26.0,179.0,82.0,2008
Diving Men's Platform,Summer,M,Gold,22.5,174.5,66.0,1986
Diving Men's Springboard,Summer,M,Gold,24.0,169.5,69.5,1986
Diving Men's Synchronized Platform,Summer,M,Gold,20.5,163.0,53.0,2008
Diving Men's Synchronized Springboard,Summer,M,Gold,26.0,169.5,65.0,2008
"Equestrianism Men's Jumping, Individual",Summer,M,Gold,32.0,173.0,70.0,1952
"Equestrianism Men's Three-Day Event, Individual",Summer,M,Gold,45.0,180.0,73.0,1960
"Equestrianism Men's Three-Day Event, Team",Summer,M,Gold,38.0,177.5,71.0,1960
"Equestrianism Mixed Dressage, Individual",Summer,M,Gold,43.0,174.0,71.5,1966
"Equestrianism Mixed Dressage, Team",Summer,M,Gold,44.5,183.5,71.0,1982
"Equestrianism Mixed Jumping, Individual",Summer,M,Gold,35.0,176.5,72.0,1986
"Equestrianism Mixed Jumping, Team",Summer,M,Gold,34.0,176.0,72.0,1988
"Equestrianism Mixed Three-Day Event, Individual",Summer,M,Gold,32.5,177.5,70.0,1990
"Equestrianism Mixed Three-Day Event, Team",Summer,M,Gold,32.0,180.0,70.0,1992
"Fencing Men's Foil, Individual",Summer,M,Gold,26.0,180.0,75.0,1984
"Fencing Men's Foil, Team",Summer,M,Gold,25.0,180.0,75.0,1980
"Fencing Men's Sabre, Individual",Summer,M,Gold,28.0,179.5,78.0,1982
"Fencing Men's Sabre, Team",Summer,M,Gold,28.0,179.0,77.0,1976
"Fencing Men's epee, Individual",Summer,M,Gold,26.0,184.5,77.5,1986
"Fencing Men's epee, Team",Summer,M,Gold,28.0,185.0,79.0,1980
Figure Skating Men's Singles,Winter,M,Gold,22.0,179.0,70.0,1988
Figure Skating Mixed Ice Dancing,Winter,M,Gold,29.0,177.5,72.0,1996
Figure Skating Mixed Pairs,Summer,M,Gold,38.0,174.0,73.0,1920
Figure Skating Mixed Pairs,Winter,M,Gold,27.0,178.0,76.0,1992
Figure Skating Mixed Team,Winter,M,Gold,30.0,183.0,74.0,2014
Football Men's Football,Summer,M,Gold,23.0,176.0,73.0,1984
Freestyle Skiing Men's Aerials,Winter,M,Gold,28.5,177.5,75.0,2004
Freestyle Skiing Men's Halfpipe,Winter,M,Gold,23.0,183.0,84.0,2014
Freestyle Skiing Men's Moguls,Winter,M,Gold,22.0,173.0,76.0,2002
Freestyle Skiing Men's Ski Cross,Winter,M,Gold,24.5,182.5,89.5,2012
Freestyle Skiing Men's Slopestyle,Winter,M,Gold,22.0,185.0,79.0,2014
Gymnastics Men's Floor Exercise,Summer,M,Gold,22.0,164.5,59.5,1986
Gymnastics Men's Horizontal Bar,Summer,M,Gold,25.0,167.0,64.0,1986
"Gymnastics Men's Horizontal Bar, Teams",Summer,M,Gold,26.0,159.0,70.0,1896
Gymnastics Men's Horse Vault,Summer,M,Gold,24.5,165.5,62.5,1982
Gymnastics Men's Individual All-Around,Summer,M,Gold,23.0,163.0,59.0,1988
Gymnastics Men's Parallel Bars,Summer,M,Gold,25.0,163.0,59.0,1988
"Gymnastics Men's Parallel Bars, Teams",Summer,M,Gold,26.0,159.0,70.0,1896
Gymnastics Men's Pommelled Horse,Summer,M,Gold,23.0,169.0,61.0,1984
Gymnastics Men's Rings,Summer,M,Gold,24.5,164.0,60.0,1986
Gymnastics Men's Rope Climbing,Summer,M,Gold,22.0,167.0,59.0,1932
Gymnastics Men's Team All-Around,Summer,M,Gold,23.0,163.0,59.0,1984
"Gymnastics Men's Team All-Around, Swedish System",Summer,M,Gold,26.0,176.0,73.0,1912
Handball Men's Handball,Summer,M,Gold,27.0,190.5,93.0,1996
Hockey Men's Hockey,Summer,M,Gold,26.0,178.0,75.0,1988
Ice Hockey Men's Ice Hockey,Summer,M,Gold,22.5,179.5,71.5,1920
Ice Hockey Men's Ice Hockey,Winter,M,Gold,25.0,182.0,85.0,1988
Judo Men's Extra-Lightweight,Summer,M,Gold,24.0,164.0,60.0,2000
Judo Men's Half-Heavyweight,Summer,M,Gold,24.5,185.0,100.0,1994
Judo Men's Half-Lightweight,Summer,M,Gold,26.0,164.0,66.0,2000
Judo Men's Half-Middleweight,Summer,M,Gold,23.0,179.5,79.5,1994
Judo Men's Heavyweight,Summer,M,Gold,26.0,185.0,125.0,1996
Judo Men's Lightweight,Summer,M,Gold,23.0,172.0,73.0,1992
Judo Men's Middleweight,Summer,M,Gold,26.5,181.0,86.0,1990
Judo Men's Open Class,Summer,M,Gold,28.5,180.0,111.5,1978
Lacrosse Men's Lacrosse,Summer,M,Gold,28.0,174.0,66.5,1904
Luge Men's Singles,Winter,M,Gold,24.5,180.5,87.5,1990
Luge Mixed (Men)'s Doubles,Winter,M,Gold,24.0,180.0,79.0,1988
Luge Mixed Team Relay,Winter,M,Gold,26.0,184.0,88.0,2014
Modern Pentathlon Men's Individual,Summer,M,Gold,27.0,181.0,73.0,1988
Modern Pentathlon Men's Team,Summer,M,Gold,27.0,181.0,73.5,1976
Nordic Combined Men's Individual,Winter,M,Gold,23.0,177.0,68.0,1984
"Nordic Combined Men's Large Hill / 10 km, Individual",Winter,M,Gold,29.0,178.0,66.0,2010
"Nordic Combined Men's Normal Hill / 10 km, Individual",Winter,M,Gold,24.0,176.0,61.0,2012
Nordic Combined Men's Sprint,Winter,M,Gold,26.0,178.0,66.5,2004
Nordic Combined Men's Team,Winter,M,Gold,26.0,177.0,67.0,2002
Rowing Men's Coxed Eights,Summer,M,Gold,25.0,191.0,89.0,1980
Rowing Men's Coxed Fours,Summer,M,Gold,24.0,189.5,89.0,1974
Rowing Men's Coxed Pairs,Summer,M,Gold,25.0,187.0,88.0,1972
Rowing Men's Coxless Fours,Summer,M,Gold,26.0,192.0,91.0,1984
Rowing Men's Coxless Pairs,Summer,M,Gold,26.0,192.0,90.0,1986
Rowing Men's Double Sculls,Summer,M,Gold,27.0,188.0,87.0,1980
Rowing Men's Lightweight Coxless Fours,Summer,M,Gold,27.0,184.5,72.0,2008
Rowing Men's Lightweight Double Sculls,Summer,M,Gold,28.0,181.5,73.5,2006
Rowing Men's Quadruple Sculls,Summer,M,Gold,24.0,194.0,93.0,1996
