Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Athletics Men's Triple Jump,Summer,M,Bronze,126213.5,63660.0,26.0,184.0,76.5,1970.0
Badminton Men's Doubles,Summer,M,Bronze,126704.0,63913.5,25.5,178.0,73.0,2002.0
Badminton Men's Singles,Summer,M,Bronze,174181.0,87572.5,22.0,179.5,71.5,2002.0
Badminton Mixed Doubles,Summer,M,Bronze,116613.0,58759.5,27.0,185.5,79.0,2006.0
Baseball Men's Baseball,Summer,M,Bronze,129435.0,65156.0,25.0,182.0,85.0,2000.0
Basketball Men's Basketball,Summer,M,Bronze,149217.5,74848.0,24.0,197.0,94.0,1988.0
Beach Volleyball Men's Beach Volleyball,Summer,M,Bronze,94248.0,47727.0,28.5,190.0,89.0,2006.0
Biathlon Men's 10 kilometres Sprint,Winter,M,Bronze,105040.0,53171.0,28.0,181.0,72.0,1998.0
Biathlon Men's 12.5 kilometres Pursuit,Winter,M,Bronze,85068.0,43154.0,31.0,182.0,75.0,2006.0
Biathlon Men's 15 kilometres Mass Start,Winter,M,Bronze,101101.0,51117.0,32.0,178.0,67.0,2010.0
Biathlon Men's 20 kilometres,Winter,M,Bronze,100238.0,50734.5,24.5,179.5,75.0,1990.0
Biathlon Men's 4 x 7.5 kilometres Relay,Winter,M,Bronze,141553.0,71016.0,27.0,178.0,71.0,1992.0
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,M,Bronze,179347.5,90026.5,24.0,177.5,66.0,2014.0
Bobsleigh Men's Four,Winter,M,Bronze,146884.5,73824.5,29.0,182.0,90.0,1992.0
Bobsleigh Men's Two,Winter,M,Bronze,132181.0,66524.0,30.0,183.0,92.0,1992.0
Boxing Men's Bantamweight,Summer,M,Bronze,116666.0,59029.0,22.0,166.0,54.0,1988.0
Boxing Men's Featherweight,Summer,M,Bronze,137171.5,68959.5,22.0,168.0,57.0,1982.0
Boxing Men's Flyweight,Summer,M,Bronze,134917.5,67884.5,21.5,164.5,51.0,1990.0
Boxing Men's Heavyweight,Summer,M,Bronze,166627.0,83698.0,23.0,189.0,91.0,1984.0
Boxing Men's Light-Flyweight,Summer,M,Bronze,137917.0,69312.0,22.0,161.0,48.0,1992.0
Boxing Men's Light-Heavyweight,Summer,M,Bronze,107199.0,54176.0,24.0,184.0,81.0,1988.0
