Event,Season,Sex,Medal,Age,Height,Weight,Year
Boxing Men's Featherweight,Summer,M,Bronze,22.0,168.0,57.0,1982
Boxing Men's Flyweight,Summer,M,Bronze,21.5,164.5,51.0,1990
Boxing Men's Heavyweight,Summer,M,Bronze,23.0,189.0,91.0,1984
Boxing Men's Light-Flyweight,Summer,M,Bronze,22.0,161.0,48.0,1992
Boxing Men's Light-Heavyweight,Summer,M,Bronze,24.0,184.0,81.0,1988
Boxing Men's Light-Middleweight,Summer,M,Bronze,22.0,178.0,71.0,1980
Boxing Men's Light-Welterweight,Summer,M,Bronze,23.0,173.5,64.0,1986
Boxing Men's Lightweight,Summer,M,Bronze,23.0,171.0,60.0,1988
Boxing Men's Middleweight,Summer,M,Bronze,23.0,179.0,75.0,1988
Boxing Men's Super-Heavyweight,Summer,M,Bronze,25.0,190.0,91.0,2000
Boxing Men's Welterweight,Summer,M,Bronze,23.0,175.5,67.0,1986
"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,M,Bronze,24.0,179.0,80.0,1988
"Canoeing Men's Canadian Doubles, 10,000 metres",Summer,M,Bronze,21.5,168.5,67.5,1952
"Canoeing Men's Canadian Doubles, 500 metres",Summer,M,Bronze,24.5,181.5,80.0,1992
"Canoeing Men's Canadian Doubles, Slalom",Summer,M,Bronze,24.0,174.5,74.0,2002
"Canoeing Men's Canadian Singles, 1,000 metres",Summer,M,Bronze,26.0,184.0,84.0,1984
"Canoeing Men's Canadian Singles, 200 metres",Summer,M,Bronze,24.0,177.5,85.5,2014
"Canoeing Men's Canadian Singles, 500 metres",Summer,M,Bronze,23.0,184.0,85.0,1992
"Canoeing Men's Canadian Singles, Slalom",Summer,M,Bronze,25.5,180.5,74.0,2002
"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,M,Bronze,26.5,180.0,80.0,1984
"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,M,Bronze,27.0,178.0,74.5,1948
"Canoeing Men's Kayak Doubles, 200 metres",Summer,M,Bronze,28.5,182.0,85.0,2014
"Canoeing Men's Kayak Doubles, 500 metres",Summer,M,Bronze,23.5,187.5,86.0,1992
"Canoeing Men's Kayak Fours, 1,000 metres",Summer,M,Bronze,25.0,185.0,85.5,1990
Canoeing Men's Kayak Relay 4 x 500 metres,Summer,M,Bronze,22.0,180.5,75.0,1960
"Canoeing Men's Kayak Singles, 1,000 metres",Summer,M,Bronze,25.0,186.0,87.0,1986
"Canoeing Men's Kayak Singles, 200 metres",Summer,M,Bronze,31.0,180.0,91.0,2016
"Canoeing Men's Kayak Singles, 500 metres",Summer,M,Bronze,25.0,184.0,86.0,1992
"Canoeing Men's Kayak Singles, Slalom",Summer,M,Bronze,23.0,179.0,73.0,2002
Cross Country Skiing Men's 10 kilometres,Winter,M,Bronze,28.0,184.0,74.0,1994
Cross Country Skiing Men's 10/10 kilometres Pursuit,Winter,M,Bronze,24.0,182.0,74.0,2002
Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,M,Bronze,32.0,183.0,74.0,1994
Cross Country Skiing Men's 15 kilometres,Winter,M,Bronze,28.0,182.0,73.0,1980
Cross Country Skiing Men's 18 kilometres,Winter,M,Bronze,28.5,170.5,65.5,1934
Cross Country Skiing Men's 30 kilometres,Winter,M,Bronze,26.5,179.0,74.0,1982
Cross Country Skiing Men's 30 km Skiathlon,Winter,M,Bronze,29.0,180.0,70.0,2010
Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,M,Bronze,27.0,176.5,71.0,1988
Cross Country Skiing Men's 50 kilometres,Winter,M,Bronze,28.0,175.5,70.0,1990
Cross Country Skiing Men's Sprint,Winter,M,Bronze,28.5,183.5,80.5,2008
Cross Country Skiing Men's Team Sprint,Winter,M,Bronze,25.0,177.0,77.5,2010
Curling Men's Curling,Winter,M,Bronze,29.5,181.5,79.0,2006
"Cycling Men's 1,000 metres Time Trial",Summer,M,Bronze,22.0,181.5,80.0,1982
Cycling Men's 100 kilometres Team Time Trial,Summer,M,Bronze,23.0,181.0,75.0,1976
Cycling Men's BMX,Summer,M,Bronze,24.0,178.0,69.0,2012
"Cycling Men's Individual Pursuit, 4,000 metres",Summer,M,Bronze,24.0,182.0,75.0,1986
Cycling Men's Individual Time Trial,Summer,M,Bronze,27.0,185.0,69.0,2008
Cycling Men's Keirin,Summer,M,Bronze,29.0,182.0,86.0,2010
Cycling Men's Madison,Summer,M,Bronze,30.0,179.0,77.5,2004
"Cycling Men's Mountainbike, Cross-Country",Summer,M,Bronze,25.5,172.5,66.5,2006
Cycling Men's Omnium,Summer,M,Bronze,25.5,182.5,76.0,2014
Cycling Men's Points Race,Summer,M,Bronze,22.0,178.0,77.0,1996
"Cycling Men's Road Race, Individual",Summer,M,Bronze,25.0,180.0,72.5,1990
"Cycling Men's Road Race, Team",Summer,M,Bronze,22.0,174.5,73.5,1956
Cycling Men's Sprint,Summer,M,Bronze,25.5,177.5,81.5,1986
"Cycling Men's Tandem Sprint, 2,000 metres",Summer,M,Bronze,22.0,173.5,74.0,1966
"Cycling Men's Team Pursuit, 4,000 metres",Summer,M,Bronze,23.0,182.0,73.0,1988
Cycling Men's Team Sprint,Summer,M,Bronze,26.0,180.0,87.0,2008
Diving Men's Platform,Summer,M,Bronze,23.5,172.0,65.0,1986
Diving Men's Springboard,Summer,M,Bronze,21.5,171.0,65.5,1986
Diving Men's Synchronized Platform,Summer,M,Bronze,23.0,172.0,65.0,2008
Diving Men's Synchronized Springboard,Summer,M,Bronze,23.0,174.0,71.0,2008
