Event,Season,Sex,Medal,Age,Height,Weight,Year
Boxing Men's Light-Welterweight,Summer,M,Silver,23.0,172.0,63.0,1988
Boxing Men's Lightweight,Summer,M,Silver,22.0,171.0,60.0,1988
Boxing Men's Middleweight,Summer,M,Silver,23.0,178.0,75.0,1988
Boxing Men's Super-Heavyweight,Summer,M,Silver,25.0,190.0,99.0,2000
Boxing Men's Welterweight,Summer,M,Silver,23.0,174.0,67.0,1986
"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,M,Silver,25.0,176.0,79.0,1988
"Canoeing Men's Canadian Doubles, 500 metres",Summer,M,Silver,28.5,177.0,79.0,1992
"Canoeing Men's Canadian Doubles, Slalom",Summer,M,Silver,28.0,178.0,76.0,2002
"Canoeing Men's Canadian Singles, 1,000 metres",Summer,M,Silver,25.5,183.0,85.5,1986
"Canoeing Men's Canadian Singles, 10,000 metres",Summer,M,Silver,23.5,185.0,86.0,1952
"Canoeing Men's Canadian Singles, 200 metres",Summer,M,Silver,29.0,194.5,101.0,2014
"Canoeing Men's Canadian Singles, 500 metres",Summer,M,Silver,22.0,183.0,82.0,1992
"Canoeing Men's Canadian Singles, Slalom",Summer,M,Silver,23.5,182.0,74.0,2002
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Summer,M,Silver,22.0,186.0,100.0,1936
"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,M,Silver,27.0,181.0,82.0,1988
"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,M,Silver,32.0,180.0,89.0,1956
"Canoeing Men's Kayak Doubles, 200 metres",Summer,M,Silver,31.0,186.5,86.0,2014
"Canoeing Men's Kayak Doubles, 500 metres",Summer,M,Silver,26.0,186.0,88.5,1992
"Canoeing Men's Kayak Fours, 1,000 metres",Summer,M,Silver,25.0,186.5,86.0,1990
Canoeing Men's Kayak Relay 4 x 500 metres,Summer,M,Silver,19.5,180.0,79.5,1960
"Canoeing Men's Kayak Singles, 1,000 metres",Summer,M,Silver,25.0,183.0,83.0,1986
"Canoeing Men's Kayak Singles, 10,000 metres",Summer,M,Silver,30.5,176.0,73.0,1950
"Canoeing Men's Kayak Singles, 200 metres",Summer,M,Silver,30.5,191.5,96.0,2014
"Canoeing Men's Kayak Singles, 500 metres",Summer,M,Silver,26.0,185.0,88.0,1992
"Canoeing Men's Kayak Singles, Slalom",Summer,M,Silver,25.5,177.0,70.0,2002
Cross Country Skiing Men's 10 kilometres,Winter,M,Silver,31.0,185.0,84.0,1994
Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,M,Silver,28.5,182.5,79.0,1993
Cross Country Skiing Men's 15 kilometres,Winter,M,Silver,29.0,180.0,72.0,1980
Cross Country Skiing Men's 18 kilometres,Winter,M,Silver,25.0,181.0,70.0,1952
Cross Country Skiing Men's 30 kilometres,Winter,M,Silver,28.0,181.0,76.0,1978
